@relation EM

@attribute 'prob to be in cluster 1' numeric
@attribute 'prob to be in cluster 2' numeric
@attribute diagnosis {TRUE,FALSE}

@data
1,0,FALSE
0.999998,0.000002,TRUE
0,1,TRUE
0,1,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0.999999,0.000001,FALSE
0,1,TRUE
1,0,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.99999,0.00001,FALSE
0,1,TRUE
0.016665,0.983335,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,FALSE
0,1,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0.852187,0.147813,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0.999982,0.000018,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0.997288,0.002712,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0.999493,0.000507,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0.990688,0.009312,TRUE
1,0,FALSE
0,1,TRUE
0.716853,0.283147,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0.999984,0.000016,FALSE
1,0,FALSE
0.999999,0.000001,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0.75983,0.24017,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0.000821,0.999179,TRUE
0,1,TRUE
1,0,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.99996,0.00004,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0.999495,0.000505,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0.999999,0.000001,FALSE
1,0,FALSE
0,1,FALSE
1,0,FALSE
0,1,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0.999643,0.000357,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0.999614,0.000386,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.999987,0.000013,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0.999266,0.000734,FALSE
0,1,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.999999,0.000001,FALSE
1,0,FALSE
0.999973,0.000028,TRUE
1,0,FALSE
1,0,FALSE
0,1,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.999971,0.000029,FALSE
0.999842,0.000158,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,FALSE
1,0,FALSE
1,0,FALSE
0.999987,0.000013,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0.000072,0.999928,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.944226,0.055774,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0.999089,0.000911,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,FALSE
0.999999,0.000001,FALSE
1,0,FALSE
0,1,TRUE
0.35977,0.64023,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.514625,0.485375,FALSE
0,1,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0.0101,0.9899,TRUE
1,0,FALSE
0.000084,0.999916,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.999997,0.000003,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0.999998,0.000002,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,FALSE
0,1,FALSE
1,0,FALSE
0.999999,0.000001,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0.999876,0.000124,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0.999998,0.000002,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.004287,0.995713,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0.008711,0.991289,TRUE
0.998976,0.001024,FALSE
1,0,FALSE
0,1,FALSE
1,0,FALSE
0.007858,0.992142,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.990624,0.009376,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
