@relation breast-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7}

@data
38,-9.330525,0.529676,22.436413,-45053.173124,8.590862,-34.610876,13.263102,-1.434472,-2.631974,21.484756,1,cluster5
39,7.274349,1.854482,4.161542,-47928.294564,-1.132355,-19.514231,6.650273,8.67531,10.581525,-3.441883,1,cluster5
40,7.070626,2.028475,2.858569,-48008.406353,-4.007079,-21.303981,6.449372,9.158167,8.187065,-5.331081,1,cluster5
41,2.149721,4.147019,2.246656,-48025.380488,4.331523,-17.577362,9.428155,2.407188,5.966264,5.801007,1,cluster5
42,-24.130096,-43.528309,5.655755,-48616.366186,23.755771,-55.777753,3.16554,-30.545142,-18.511309,64.858264,1,cluster3
43,-26.193339,1290.27968,1324.549796,-49284.707806,25.306913,-1368.088904,1321.179372,-46.312755,-31.04454,89.792085,1,cluster2
44,-16.395278,2076.415984,2116.585174,-49800.13469,21.447687,-2142.066588,2126.068896,-59.921682,-26.158944,75.407328,1,cluster2
45,-35.803096,-36.374657,-3.447323,-50530.778498,18.427692,-50.124151,17.998903,-46.002001,-14.326297,79.934727,1,cluster3
46,-43.481509,297.563872,320.658763,-51179.568439,22.275951,-363.330646,332.313632,-61.373758,-28.657809,98.145318,1,cluster3
47,-38.635384,-34.675734,-8.298841,-51203.748467,17.975518,-52.122523,18.928648,-44.444893,-12.578501,90.162148,1,cluster3
48,-38.242117,-34.777726,-8.876288,-53840.725699,19.307782,-52.58017,17.484803,-43.994052,-13.407357,88.397914,1,cluster3
49,-38.245332,-34.00863,-8.957678,-54907.193683,18.962938,-53.109645,19.450411,-43.368438,-12.228793,90.380502,1,cluster3
50,-38.261224,-33.233538,-9.031204,-55689.598935,18.621146,-53.636569,21.418939,-42.745919,-11.05364,92.354746,1,cluster3
51,-38.28789,-32.453349,-9.098048,-55962.77581,18.281946,-54.161323,23.389949,-42.126031,-9.881387,94.3219,1,cluster3
52,-38.323793,-31.668792,-9.159162,-57122.758037,17.944968,-54.684219,25.363085,-41.508399,-8.71162,96.282974,1,cluster3
53,-38.367671,-30.880462,-9.21533,-57387.265969,17.60991,-55.205508,27.338059,-40.892715,-7.543999,98.2388,1,cluster3
54,-38.418486,-30.088852,-9.267195,-58297.825351,17.27652,-55.725402,29.31463,-40.278724,-6.378245,100.19006,1,cluster3
55,-38.475369,-29.29437,-9.315296,-58905.272778,16.944591,-56.244074,31.292598,-39.666216,-5.214124,102.137326,1,cluster3
56,7.598157,-3.194326,1.920836,-67896.606475,-2.804841,-21.914526,8.190792,11.820883,11.850181,-7.756383,1,cluster5
57,-37.881746,148.062124,175.720009,-68149.47655,10.582793,-214.952406,210.184719,-25.101741,-11.264753,94.557177,1,cluster3
58,-41.303141,150.184155,176.078881,-68250.567757,12.173043,-208.554438,212.55593,-28.63138,-12.685033,99.977036,1,cluster3
59,-41.58686,151.024827,175.549163,-68314.258591,11.825758,-208.831872,214.734261,-28.182229,-11.720185,102.061836,1,cluster3
60,5.281987,1.567084,1.320226,-68872.942386,-0.112954,-15.463561,7.020917,5.877584,7.439211,-3.13665,1,cluster5
61,-42.169812,152.66897,174.599981,-72165.75055,11.112983,-209.767887,218.60339,-27.021137,-9.62214,106.676567,1,cluster3
62,-42.218461,153.504095,174.44614,-72288.019021,10.801012,-209.903944,221.070569,-26.673198,-8.628328,108.173911,1,cluster3
63,-42.501876,154.344623,173.916233,-72374.226669,10.453654,-210.181439,223.24883,-26.223973,-7.663398,110.258911,1,cluster3
64,-42.784621,155.184834,173.385911,-73194.824197,10.106134,-210.459068,225.426937,-25.774585,-6.698289,112.344352,1,cluster3
65,-43.066767,156.024761,172.855216,-73289.69274,9.758471,-210.736818,227.604906,-25.32505,-5.733017,114.430187,1,cluster3
66,-43.348373,156.864434,172.324187,-73403.614114,9.410678,-211.014677,229.78275,-24.875384,-4.767601,116.516378,1,cluster3
67,-43.629491,157.703875,171.792856,-73515.803684,9.062767,-211.292634,231.960483,-24.425598,-3.802053,118.602889,1,cluster3
68,-43.910168,158.543108,171.26125,-73614.13707,8.71475,-211.570679,234.138113,-23.975705,-2.836387,120.689692,1,cluster3
69,-44.190442,159.382151,170.729395,-74258.066663,8.366637,-211.848806,236.315651,-23.525713,-1.870612,122.776758,1,cluster3
70,-44.470351,160.22102,170.197314,-74325.223522,8.018435,-212.127006,238.493105,-23.075632,-0.904739,124.864066,1,cluster3
71,-44.749925,161.059731,169.665024,-74432.217719,7.670153,-212.405274,240.670482,-22.625469,0.061225,126.951594,1,cluster3
72,-45.029192,161.898297,169.132544,-74539.212071,7.321797,-212.683603,242.847788,-22.175231,1.027271,129.039324,1,cluster3
73,-6.496423,25.875172,48.440012,-76543.031858,4.947817,-45.87793,37.935044,-13.037746,-8.247255,14.490615,1,cluster5
74,-45.627751,163.549823,168.193044,-77761.961707,6.612777,-213.616477,246.720511,-21.017951,3.121116,133.643783,1,cluster3
75,-20.738805,1258.7419,1261.824694,-78115.145536,10.833677,-1275.137173,1265.143623,-14.07889,-9.343056,32.566646,1,cluster2
76,-45.671857,164.382798,168.036384,-79526.216638,6.299712,-213.753449,249.186643,-20.668902,4.11615,135.144117,1,cluster3
77,-45.951198,165.2214,167.503951,-79667.851968,5.951374,-214.031764,251.363966,-20.218683,5.082176,137.231798,1,cluster3
78,-46.230282,166.059879,166.971357,-79797.363073,5.602974,-214.31013,253.54123,-19.7684,6.048271,139.319649,1,cluster3
79,-46.509125,166.898244,166.438614,-79935.534553,5.254516,-214.588545,255.718438,-19.318059,7.014431,141.407658,1,cluster3
80,-46.787746,167.736505,165.905734,-80032.136926,4.906004,-214.867004,257.895595,-18.867663,7.980651,143.495814,1,cluster3
81,12.618752,-11.117128,-8.601011,-83121.891436,1.828841,-22.42754,5.59302,17.229497,20.183682,-12.879402,1,cluster5
82,6.303286,-14.732211,-9.934355,-83136.280678,4.443095,-22.053921,11.019001,19.017928,22.000151,-11.142482,1,cluster5
83,-0.630953,-24.146935,-3.621866,-84037.583651,6.926772,-29.206763,2.48903,3.331862,8.298386,4.969288,1,cluster5
84,-9.503458,39.015969,58.015348,-84163.720755,7.15497,-55.992243,44.842941,-13.827458,-17.769132,8.552138,1,cluster5
85,-0.735828,176.512807,172.534223,-88415.657372,7.369753,-184.792551,180.050955,2.729515,4.672066,6.611448,1,cluster5
86,-5.882741,-10.862744,4.250252,-96974.688456,7.412511,-10.195693,-2.255516,-10.176584,-4.013698,20.411685,1,cluster5
87,-12.077064,1239.137183,1241.589669,-97277.867224,7.442186,-1245.319759,1238.699904,-14.837835,-13.72287,23.179858,1,cluster2
88,0.080489,26.05371,30.791503,-105747.407494,4.114219,-44.108779,29.077938,-7.805354,-5.081022,11.538599,1,cluster5
89,1.621346,6.31654,0.927187,-107184.357328,1.141441,-6.442791,0.615055,-1.322159,2.265237,3.88248,1,cluster5
90,-7.976094,17.739781,32.449217,-107828.909487,3.637365,-48.83583,30.065184,-11.038382,-8.515917,14.484959,1,cluster5
91,-18.897543,187.091011,223.654857,-108095.247641,5.927553,-229.303135,208.683447,-12.684082,-12.978999,31.776843,1,cluster5
92,-18.989603,9.321283,43.402797,-108116.837501,14.017858,-54.171845,25.876814,-31.14066,-23.489706,43.403378,1,cluster5
93,1.304538,-7.341853,-4.939765,-113043.327891,-3.695933,-4.695585,-4.776799,6.811197,1.332234,-2.616587,1,cluster5
94,-19.661079,76.004786,112.473961,-114067.464594,5.66174,-117.175245,99.658998,-12.610633,-12.127688,32.02783,1,cluster5
95,-20.89857,-3.48398,20.671325,-114603.311013,16.712309,-32.738503,5.665204,-37.101472,-29.849111,48.684522,1,cluster3
96,-21.876923,-13.044099,8.263991,-114783.342195,16.616127,-21.318733,-3.121284,-32.443525,-25.746449,52.222002,1,cluster3
97,-20.282418,0.540921,21.750248,-114813.82164,16.713387,-36.165839,12.482385,-37.673306,-27.57264,54.226523,1,cluster3
98,-20.773014,-6.236439,14.302133,-114925.645549,17.697291,-29.055899,5.776227,-37.149483,-26.514058,55.210549,1,cluster3
99,-22.596811,9.442271,33.843806,-115007.401471,16.407322,-43.94083,22.782269,-33.129515,-26.228463,52.672024,1,cluster3
100,-21.187233,177.573924,197.762144,-115068.968106,17.764074,-217.170118,197.053691,-27.071343,-16.27463,59.628024,1,cluster3
101,-19.56032,178.900479,196.480204,-116319.478387,15.240831,-217.360319,199.046019,-27.459675,-16.580748,59.105441,1,cluster5
102,-27.353231,2.362271,9.509844,-121987.333442,-7.154054,-20.613214,37.946879,-19.846394,-22.71597,1.416481,1,cluster5
103,-1.594969,1340.681619,1338.541952,-136678.525547,-0.556656,-1344.869032,1342.433126,5.559145,-1.770591,-4.51067,1,cluster2
104,8.000961,-6.648812,-1.249543,-138856.26208,-1.449587,-10.019958,3.316194,12.255819,11.509813,-9.934775,1,cluster5
105,13.583077,-13.557777,-7.403144,-139948.988899,1.383815,-22.829202,5.881212,19.18411,21.098262,-13.297246,1,cluster5
106,-15.183798,-21.099325,-8.042496,-142102.985848,7.943,-23.713248,14.433748,-3.054573,0.377965,-6.631358,1,cluster5
107,-12.313125,-22.133834,-12.537641,-142555.262653,8.210093,-25.536321,9.564506,-1.762836,-0.921751,-5.711451,1,cluster5
108,-38.421162,-44.024319,29.379069,-143433.997602,20.880618,-23.82466,-10.112806,-45.752301,-42.106979,64.33108,1,cluster3
109,-20.645285,-23.965341,4.620791,-143603.337,15.983273,-19.143146,-8.272681,-21.131903,-14.830624,42.99346,1,cluster5
110,-15.088621,170.78302,194.156256,-143612.546439,13.657465,-213.529288,182.7972,-21.305833,-16.608446,40.80006,1,cluster5
111,-46.38035,-30.844779,27.193407,-144738.105303,27.738236,-34.804434,-2.034929,-60.49876,-44.743473,86.090295,1,cluster3
112,-42.045047,556.168656,601.892088,-144876.713943,27.092632,-619.245763,578.382013,-58.580643,-46.400599,86.479947,1,cluster3
113,-42.643739,114.892252,165.076319,-144922.70937,26.100631,-183.663299,148.59727,-59.270558,-45.560156,77.969448,1,cluster3
114,-41.634214,-30.590297,25.59313,-145021.715369,21.308582,-36.775551,7.964916,-52.642532,-40.927809,74.200622,1,cluster3
115,-49.625679,111.402544,160.685949,-145068.213961,25.81397,-173.033765,143.484922,-59.24789,-42.124401,92.351102,1,cluster3
116,-47.690942,-12.472034,32.795247,-145129.370279,25.284949,-50.336344,18.97081,-59.63603,-43.188359,88.95985,1,cluster3
117,-45.511498,-28.057687,15.631826,-145216.978114,26.178669,-32.75133,4.317849,-62.967814,-43.756094,92.332165,1,cluster3
118,-42.53812,119.192973,162.619288,-145270.347282,25.009304,-186.385489,157.171178,-57.642588,-38.889089,91.768902,1,cluster3
119,-41.493558,16.469466,67.485437,-145280.407823,21.967757,-81.961207,59.725659,-51.474396,-35.090987,84.469264,1,cluster3
120,-44.939569,761.871754,802.320663,-145398.358233,24.395658,-827.684498,802.770983,-51.058081,-30.780667,105.279333,1,cluster3
121,-43.558409,-32.272882,9.542354,-145423.133753,25.971264,-33.513622,12.742519,-57.465357,-35.111933,92.019137,1,cluster3
122,-43.833541,172.427716,211.952835,-145457.548226,24.925182,-239.236052,216.793392,-56.127944,-34.095651,97.323606,1,cluster3
123,-43.800623,45.713919,90.982365,-145493.345455,21.51814,-108.217379,94.308802,-51.692222,-32.033937,92.131125,1,cluster3
124,-51.869753,273.994972,310.382803,-145674.309761,26.243574,-329.380449,315.776249,-56.344224,-31.056848,112.471969,1,cluster3
125,-46.453567,38.18755,72.231278,-145740.692088,26.513096,-97.120108,82.968474,-59.552607,-32.897151,105.810102,1,cluster3
126,-48.920727,80.467942,112.24193,-145864.298428,26.564648,-134.34921,121.822042,-59.57071,-32.524258,111.065746,1,cluster3
127,-49.268758,-20.592241,10.264881,-145883.130093,28.811209,-33.362055,21.382973,-62.045464,-33.622542,111.123396,1,cluster3
128,-50.035985,-7.813666,32.18982,-145913.160414,26.110223,-41.184594,36.587531,-57.915698,-36.981902,104.399759,1,cluster3
129,-50.962344,29.770943,71.850804,-146159.032257,24.471719,-90.006277,88.756422,-49.390274,-22.028359,111.475269,1,cluster3
130,-47.210884,445.646758,477.469443,-146409.428254,26.511569,-509.194989,500.432289,-53.976969,-22.886649,119.633927,1,cluster3
131,-48.584134,164.731916,192.437467,-146515.05327,29.432837,-216.928279,210.887839,-62.40859,-29.546449,118.132278,1,cluster3
132,-44.374668,610.799733,633.677654,-147067.170981,29.495323,-665.722759,659.304674,-55.617361,-19.267486,122.31505,1,cluster3
133,-8.285764,58.53889,69.417171,-147565.906902,6.946145,-77.355734,63.656041,-12.682963,-11.090183,17.052926,1,cluster5
134,-50.997156,81.443912,100.287998,-147678.701936,33.330206,-127.477933,120.279536,-66.228136,-21.237125,130.726725,1,cluster3
135,-17.434537,278.295113,301.783116,-147929.159915,14.240261,-310.697072,286.384698,-23.925441,-21.014132,43.362712,1,cluster5
136,-7.716106,1383.321074,1384.054254,-148508.883774,3.766157,-1394.191778,1387.651378,-8.657451,-7.764476,27.161966,1,cluster2
137,-20.624289,151.719731,175.158545,-148730.128154,8.098379,-196.824598,190.451504,-11.843619,-6.503481,49.256657,1,cluster5
138,-47.394715,231.238472,255.592549,-149042.17952,31.573779,-272.845246,267.882757,-67.534636,-12.26949,130.963496,1,cluster3
139,-52.932091,-11.451914,16.716322,-149149.731657,33.389996,-33.461582,33.672328,-65.270913,-7.166551,135.618783,1,cluster3
140,-19.645218,-20.498248,5.201844,-149877.907598,15.726495,-16.239,-4.353593,-20.753252,-16.231627,42.276164,1,cluster5
141,-6.473598,-23.724604,-8.444773,-151449.595133,6.421708,-25.904029,7.643357,2.363124,4.853224,3.149145,1,cluster5
142,-5.487642,-21.339611,-9.250224,-152759.43025,8.815477,-27.410104,8.229983,0.387813,9.025787,9.666873,1,cluster5
143,-34.684187,-31.028917,7.810916,-155669.651168,13.81631,-19.726122,-0.707147,-34.467069,-32.464454,35.574841,1,cluster3
144,-32.726937,1088.923987,1114.853566,-155699.733482,11.186195,-1141.977122,1116.63627,-32.122693,-32.101876,51.823281,1,cluster2
145,-11.867691,346.19306,355.558235,-155919.227592,4.67615,-358.845992,350.87418,-17.12439,-15.14278,20.04104,1,cluster5
146,-19.703307,124.313851,162.056522,-157889.722897,8.554062,-160.838175,146.079583,-10.538224,-13.419561,32.968823,1,cluster5
147,-12.35786,28.97724,50.069574,-158621.670875,4.300919,-47.968502,43.507177,-13.047963,-14.175153,16.071998,1,cluster5
148,-19.149213,-19.820958,5.299762,-163833.845313,15.080287,-16.866935,-3.85921,-20.417996,-15.039735,43.902871,1,cluster5
149,2.391619,2.096523,4.779801,-164659.044506,0.061866,2.382819,2.715105,2.015293,-2.13282,-1.336047,1,cluster5
150,-12.990314,-13.0124,3.659538,-169603.848784,6.690788,-12.561872,-0.532042,-7.748503,-8.272593,19.763677,1,cluster5
151,3.120084,177.31247,181.33604,-169778.819247,-2.702887,-186.692178,181.19373,6.89737,3.178109,-3.58217,1,cluster5
152,-10.180987,-10.661061,2.905436,-169944.081595,6.390327,-12.917625,-1.394482,-9.402612,-9.25267,19.012141,1,cluster5
153,-13.919868,-12.430297,3.759772,-172582.962759,6.596049,-12.869151,2.682635,-8.909841,-8.519738,18.314737,1,cluster5
154,-10.670508,-10.291076,2.041211,-173095.44043,6.157391,-13.520457,1.863099,-10.030975,-9.882552,17.269273,1,cluster5
155,2.855143,-0.013101,-3.309702,-177230.792386,0.944964,-5.36084,2.468846,3.860634,1.788438,-0.842002,1,cluster5
156,4.050597,0.675189,3.361642,-180563.65849,-0.591088,-2.011278,1.551396,3.339481,4.382249,-4.341372,1,cluster5
157,0.355883,11.415476,8.124864,-181990.241658,5.522592,-18.421356,18.010354,4.846284,8.332507,6.793563,1,cluster5
158,-5.786424,-10.129868,10.78295,-182536.925798,5.914086,-6.791799,-1.067329,-9.394907,-5.374425,14.633317,1,cluster5
159,-7.842079,-8.535197,7.047921,-182888.864004,8.892504,-8.047958,2.165843,-9.234476,-4.949352,19.859782,1,cluster5
160,-11.08343,353.517714,351.178587,-184981.259804,-1.257728,-362.866833,366.64357,0.06454,-3.862779,-2.855256,1,cluster5
161,5.356545,-3.45869,0.356519,-185839.017924,-1.03538,-4.451125,-0.433631,4.851359,1.965029,-3.236079,1,cluster5
162,-16.576956,22.056613,36.766867,-187780.383959,8.045378,-42.416563,34.635763,-14.160851,-11.822958,24.150096,1,cluster5
163,-0.766594,616.109724,618.595993,-193586.172324,6.960677,-629.71939,623.472172,-6.860781,-4.141394,20.120554,1,cluster5
164,-21.025294,153.315322,174.510173,-197650.988651,7.34769,-197.601783,194.647625,-10.806492,-4.421095,53.293149,1,cluster5
165,-21.103685,154.164514,174.374779,-198195.862504,7.042875,-197.731853,197.121653,-10.465817,-3.435288,54.770918,1,cluster5
166,-21.411897,155.016771,173.860253,-199925.773851,6.701484,-198.004356,199.305625,-10.022648,-2.477031,56.839598,1,cluster5
167,-21.715553,155.866873,173.342901,-200107.234074,6.358997,-198.277776,201.488548,-9.578367,-1.517549,58.911276,1,cluster5
168,-22.015509,156.715225,172.823253,-200226.342338,6.015619,-198.55194,203.670618,-9.133181,-0.557071,60.98539,1,cluster5
169,-7.107206,898.783595,894.181871,-209371.540149,0.419877,-899.499017,900.222911,-4.503914,-5.833501,-0.339278,1,cluster2
170,-0.642177,-7.382726,-2.701263,-210012.46791,-2.038953,-13.090005,2.197436,1.350837,4.990215,-4.560161,1,cluster5
171,-8.045797,-10.804802,3.272277,-210519.908478,4.623322,-16.877772,-1.603801,-13.775363,-7.208453,15.432219,1,cluster5
172,5.40039,6.0351,3.505529,-210807.372354,-1.252984,-1.378978,0.175885,1.859335,-0.913517,0.158122,1,cluster5
173,-6.921853,3.649964,17.600019,-212943.195341,3.676654,-22.732086,9.51391,-13.200887,-13.161515,14.979681,1,cluster5
174,-17.064476,-17.082232,1.070697,-214131.826704,6.668362,-14.565664,1.788701,-11.234316,-6.670298,19.767164,1,cluster5
175,-11.13118,182.309154,196.183392,-214534.735844,4.142989,-202.123433,194.427817,-15.580036,-13.596323,17.370417,1,cluster5
176,-10.587847,444.540102,457.5016,-215674.668265,5.166021,-458.542638,450.424435,-11.439579,-10.175003,21.252627,1,cluster5
177,-7.736851,-0.134072,-2.33244,-221008.655653,-6.188239,-1.124811,13.576319,4.383579,0.518853,0.463192,1,cluster5
178,-35.530951,-28.43849,4.729992,-223512.270644,13.955694,-17.872599,4.539536,-36.37426,-32.217666,41.747272,1,cluster3
179,-36.609342,-29.333852,1.691562,-223694.695627,13.06412,-20.825373,3.444228,-33.296556,-28.932802,46.514738,1,cluster3
180,-35.113362,-26.60129,2.284479,-225326.560184,15.693123,-21.807801,4.322179,-35.872678,-25.36026,49.788424,1,cluster3
181,-34.88259,197.955158,223.883297,-225355.588629,14.049984,-247.240035,228.586402,-34.525342,-24.026319,55.945721,1,cluster3
182,-19.981226,525.423766,523.955051,-226109.488599,-5.265067,-535.324174,550.314156,-1.304514,-6.767446,-5.605893,1,cluster5
183,-4.881061,285.612789,295.888034,-227939.366016,8.099851,-304.69414,288.834666,-9.25917,-8.311396,21.312631,1,cluster5
184,-34.731555,241.506268,261.022223,-230644.210659,17.419594,-287.828533,270.300773,-42.947667,-25.227921,63.706663,1,cluster3
185,-36.151292,-10.389449,10.40365,-230778.677665,14.850451,-36.584725,18.740032,-41.666485,-23.298331,61.481207,1,cluster3
186,-4.169852,-20.106061,5.90664,-231618.507138,5.52986,-17.133719,-2.930777,-5.908039,-5.747733,15.863195,1,cluster5
187,-14.233803,-9.3431,13.044475,-232056.848592,9.414216,-23.926732,4.525321,-19.360796,-12.174947,25.60598,1,cluster5
188,-8.357463,-12.763572,5.499475,-232694.900528,7.139034,-9.994052,-4.555032,-15.197599,-13.30318,23.140784,1,cluster5
189,-11.866903,755.775608,766.638682,-232798.645842,11.101517,-780.375827,766.762933,-14.519286,-12.254891,36.75762,1,cluster5
190,-33.645006,-16.890345,1.129537,-233529.49076,18.65422,-23.737286,6.258365,-43.252537,-17.657253,67.607895,1,cluster3
191,-7.044515,-24.497533,-3.224536,-238285.693565,14.030409,-34.082408,4.82025,-4.560406,7.775461,19.609606,1,cluster5
192,11.568446,-12.555399,-5.238066,-238330.189278,4.011754,-23.513959,7.0609,16.308254,25.590468,-9.176297,1,cluster5
193,-6.98429,-11.010865,3.859654,-239071.868436,4.265208,-19.042795,1.707814,-8.225584,-4.810269,14.249509,1,cluster5
194,3.263278,3.580119,6.936126,-239176.269846,3.806846,-11.990805,11.326268,5.985818,6.396037,1.015193,1,cluster5
195,-9.121947,459.27772,464.871825,-239196.480915,5.344357,-478.765673,466.032845,-10.009748,-11.271233,17.460771,1,cluster5
196,-12.750481,181.905453,199.450886,-241446.218886,11.195028,-211.431713,189.596729,-18.328037,-11.452728,25.065277,1,cluster5
197,-22.271,55.664206,82.248745,-242476.443251,11.924773,-96.23175,76.003322,-16.196301,-9.471524,44.651192,1,cluster5
198,-16.901381,2399.469497,2406.001303,-243549.283976,2.560852,-2411.362697,2405.18336,-15.716934,-16.106662,10.495134,1,cluster2
199,-43.467421,26.167344,39.236352,-245546.079781,-0.950235,-31.635995,51.618152,-22.884002,-22.762191,-4.615348,1,cluster5
200,-10.849578,-4.988312,16.418224,-247191.617444,4.591737,-21.760824,9.357226,-10.711361,-8.681627,13.352095,1,cluster5
201,-25.249232,539.461969,541.946527,-247796.429215,0.394451,-549.307231,571.753055,-17.780751,-16.727296,24.475155,1,cluster5
202,-22.79295,-8.126834,14.156763,-248105.394634,9.489193,-16.136251,6.095656,-25.851113,-24.517127,24.947942,1,cluster5
203,-22.611721,769.514594,777.747281,-250948.509257,11.675423,-798.556425,783.334725,-29.60273,-23.743296,44.345221,1,cluster2
204,-8.804054,159.398988,175.347479,-255050.814901,5.96961,-180.26429,173.240464,-11.977693,-10.377963,13.673491,1,cluster5
