@RELATION csv_result-credit_edit10

@ATTRIBUTE id REAL
@ATTRIBUTE source_0 REAL
@ATTRIBUTE source_1 REAL
@ATTRIBUTE source_2 REAL
@ATTRIBUTE source_3 REAL
@ATTRIBUTE source_4 REAL
@ATTRIBUTE source_5 REAL
@ATTRIBUTE source_6 REAL
@ATTRIBUTE source_7 REAL
@ATTRIBUTE source_8 REAL
@ATTRIBUTE source_9 REAL
@ATTRIBUTE class {0,1}

@DATA
63,-0.014666,0.013794,0.024363,0.02919,0.065301,-0.008759,0.009983,-0.040046,0.032435,0.033205,1
64,-0.016848,0.015243,0.025572,0.030908,0.06779,-0.00946,0.007681,-0.041199,0.032548,0.035163,1
65,-0.0189,0.016632,0.026848,0.032511,0.070323,-0.010318,0.005342,-0.042395,0.032374,0.037321,1
66,-0.021082,0.018079,0.028057,0.034234,0.072811,-0.011021,0.003042,-0.043544,0.032487,0.039279,1
67,-0.023259,0.019524,0.029268,0.035954,0.075301,-0.01173,0.000742,-0.044694,0.032589,0.041244,1
68,-0.025443,0.020971,0.030475,0.037683,0.077787,-0.012434,-0.001556,-0.045838,0.032706,0.0432,1
69,-0.027625,0.022416,0.031685,0.039411,0.080275,-0.013139,-0.003853,-0.046983,0.032816,0.045159,1
70,-0.029692,0.023809,0.032957,0.041038,0.082803,-0.013978,-0.006185,-0.048171,0.032672,0.047291,1
71,-0.031871,0.025254,0.034169,0.042767,0.085292,-0.014684,-0.008482,-0.049316,0.032777,0.049252,1
72,-0.034051,0.026697,0.03538,0.044498,0.08778,-0.015393,-0.010778,-0.050458,0.032883,0.051213,1
73,-0.036228,0.028138,0.036592,0.046229,0.090268,-0.016105,-0.013074,-0.051601,0.032983,0.053177,1
74,-0.004819,0.036419,-0.015119,-0.047785,0.018519,-0.026173,0.017132,0.008312,-0.020263,0.018451,1
75,-0.034589,0.020633,0.035473,0.045913,0.093992,-0.014478,-0.011103,-0.052104,0.035612,0.052858,1
76,-0.003031,-0.006116,-0.05625,-0.03072,0.010521,-0.006275,-0.009509,-0.075183,0.018202,0.001438,1
77,-0.038401,0.021566,0.038528,0.048634,0.096428,-0.0177,-0.013288,-0.05476,0.034073,0.057716,1
78,-0.040592,0.023012,0.039728,0.050379,0.09891,-0.0184,-0.01558,-0.055893,0.034206,0.05966,1
79,-0.042777,0.024456,0.040934,0.052117,0.101395,-0.019107,-0.017874,-0.05703,0.034322,0.061615,1
80,-0.044965,0.0259,0.042138,0.053859,0.103879,-0.019811,-0.020166,-0.058164,0.034446,0.063564,1
81,-0.047145,0.027343,0.043349,0.055595,0.106366,-0.02052,-0.022461,-0.059304,0.034552,0.065524,1
82,0.004184,0.004453,0.055897,-0.040238,0.002862,0.012242,-0.023994,-0.006803,-0.032352,0.053727,1
83,0.003218,0.03675,0.031036,-0.031762,0.004467,-0.01369,-0.005851,-0.008049,-0.029304,0.036879,1
84,0.000508,0.016793,0.037886,-0.037477,-0.011633,0.011481,-0.004562,-0.004365,-0.030878,0.062322,1
85,-0.00374,0.056872,0.006729,0.017355,0.015714,0.057606,-0.011757,-0.052491,-0.00864,-0.024859,1
86,0.024022,0.026846,0.020226,0.010993,0.003845,0.022211,-0.023893,-0.0401,0.016173,0.01179,1
87,0.016052,0.010284,0.021541,-0.042203,0.010942,-0.036996,-0.019366,-0.017369,0.010289,0.017231,1
88,0.035425,0.018317,-0.060794,-0.055065,0.004657,0.017794,0.016066,-0.041861,0.022963,0.027352,1
89,0.016208,-0.025969,0.02732,-0.026068,-0.009857,0.000899,-0.012522,-0.010752,-0.031514,0.022237,1
90,-0.02565,-0.041756,0.044603,-0.034412,0.002771,0.01439,-0.047209,-0.031009,0.012215,0.018647,1
91,-0.002184,-0.000934,0.003461,-0.026456,-0.035665,-0.006042,0.006459,-0.008761,-0.051387,0.025953,1
92,0.057717,0.049641,-0.004629,-0.007884,-0.024643,0.038879,0.04309,0.020466,-0.055756,-0.050395,1
93,0.023834,-0.013053,0.006866,-0.027854,0.001923,-0.041632,0.008062,0.018178,0.015237,0.011457,1
94,0.001151,0.040601,-0.001845,-0.031456,-0.025435,-0.010055,0.002025,-0.011725,-0.039366,0.01284,1
95,0.049085,0.054225,0.002182,-0.005528,-0.02362,0.038135,0.038111,0.020557,-0.054049,-0.047361,1
96,0.02015,0.00179,-0.013296,-0.009017,-0.022241,-0.004847,0.003986,0.007913,0.035559,0.020828,1
97,0.036766,-0.014148,0.028859,-0.010309,-0.026011,-0.02191,0.002467,-0.023041,0.055257,0.013497,1
98,0.015958,-0.017307,-0.016789,-0.01317,-0.012372,-0.017337,0.025803,0.014898,0.021772,0.0257,1
99,0.017696,-0.028488,-0.017086,-0.007886,-0.014268,-0.003601,0.021607,0.011335,0.026665,0.031095,1
100,0.008707,-0.04894,0.021328,0.007243,-0.000142,0.007569,0.022765,-0.008095,0.040089,0.006503,1
101,0.050921,-0.063136,0.03096,0.000533,-0.002249,-0.030893,0.022836,-0.030994,0.022477,0.004533,1
102,0.04948,-0.066374,0.032333,-0.005547,-0.012499,-0.020691,0.028759,-0.016438,0.020295,0.016172,1
103,-0.109608,0.065565,0.041573,0.067969,-0.015354,0.017955,-0.058538,0.024303,-0.096583,-0.03793,1
104,0.012077,0.049611,-0.039978,-0.034327,0.018364,0.034498,0.019185,-0.044758,-0.012836,-0.008801,1
105,-0.010365,-0.007798,0.075232,-0.035573,0.033445,-0.005339,-0.011155,-0.016706,-0.014587,0.003173,1
106,0.016774,0.029598,0.041457,-0.033599,-0.017033,-0.015155,-0.01493,-0.000038,-0.038996,0.047335,1
107,-0.037823,-0.04209,0.036725,-0.014141,0.014309,-0.021869,0.003941,-0.014311,0.017025,0.013597,1
108,-0.005931,-0.026547,0.034042,0.023346,0.005393,0.009303,-0.027743,-0.040069,0.020726,-0.046644,1
109,0.055591,0.022971,0.017582,-0.033415,0.056513,-0.045247,0.056039,0.03324,0.059058,-0.010351,1
110,0.002997,0.014455,-0.001053,-0.005809,-0.000931,0.008321,-0.004719,-0.014659,0.021657,0.016303,1
111,0.019037,0.017451,-0.003247,-0.000786,-0.021335,0.030837,-0.004025,-0.018239,0.025235,0.017571,1
112,0.004249,-0.00573,-0.048215,-0.011447,0.017045,-0.038974,0.028794,0.022213,0.051336,0.001688,1
113,0.028054,-0.010476,-0.054166,-0.012988,-0.010324,-0.00904,0.035034,0.00369,0.082124,0.042333,1
114,-0.001265,0.020024,-0.039109,0.016388,0.003718,-0.019571,0.022446,0.016035,0.034911,0.002284,1
115,0.016821,0.014332,-0.001775,-0.012019,0.011566,-0.01812,0.05115,0.03664,0.026844,-0.003858,1
116,0.015675,-0.036883,-0.043236,-0.001533,0.007814,-0.00039,0.014315,0.027234,0.041031,0.00447,1
117,-0.021458,-0.031091,-0.007264,0.010589,-0.007655,0.005625,0.012138,0.013717,0.060671,0.015257,1
118,-0.004623,-0.018771,-0.052918,0.000804,0.006804,0.002204,0.031579,0.043915,0.031635,0.026968,1
119,0.005423,-0.0276,-0.044011,0.003482,0.012268,-0.005596,0.044752,0.041813,0.021347,0.024212,1
120,0.021237,-0.023687,-0.000908,-0.000477,0.022381,-0.010316,0.056566,0.032239,0.010194,0.002795,1
121,0.052402,-0.089729,-0.023685,0.017259,0.02764,-0.026193,0.033046,-0.002028,-0.003725,-0.001306,1
122,-0.017857,-0.008124,-0.015635,0.026692,0.023578,-0.007557,0.014989,0.035432,-0.010591,0.039604,1
123,0.004848,-0.022891,-0.030992,0.03169,0.025963,0.006369,0.010932,0.032239,-0.015894,0.011275,1
124,0.010737,-0.013307,0.00443,0.020929,0.035384,-0.002271,0.02739,0.029206,-0.01682,0.00254,1
125,0.021272,-0.071995,-0.009475,0.030743,0.032447,-0.002063,-0.011409,0.000823,-0.006157,0.006895,1
126,-0.015666,-0.026661,-0.019446,0.03272,0.033695,0.001197,0.003251,0.03133,-0.022894,0.040027,1
127,-0.000117,-0.047925,-0.012934,0.032542,0.02613,0.016689,-0.010949,0.018921,-0.009309,0.035187,1
128,-0.016299,-0.038634,-0.033979,0.041404,0.031331,0.031509,-0.012321,0.029626,-0.011844,0.050485,1
129,-0.012952,-0.034423,-0.009382,0.056128,0.079122,0.039105,0.01412,0.026687,-0.01616,0.007624,1
130,0.004383,-0.065645,-0.001285,0.029923,0.076432,-0.014233,0.030673,0.025741,-0.04275,0.001777,1
131,0.00769,-0.088338,-0.039463,0.050492,0.063283,0.002747,0.013541,0.026199,-0.062689,0.022437,1
132,-0.016101,-0.058467,-0.03296,0.067613,0.044969,0.034796,-0.027289,0.014734,-0.048888,0.047193,1
133,0.014467,-0.056187,0.018726,0.080193,0.044082,-0.013473,-0.026869,-0.046058,-0.044948,0.042131,1
134,-0.026178,-0.007285,0.032407,-0.015888,0.016855,0.041133,-0.00182,-0.004254,0.024092,0.00514,1
135,-0.014788,-0.012178,-0.008307,0.056576,0.03803,0.034622,-0.054606,-0.006116,-0.020481,0.06625,1
136,0.030153,0.017334,-0.013859,0.009408,-0.001752,0.045168,-0.007402,-0.021366,0.023234,0.015997,1
137,0.049052,-0.031042,-0.012523,-0.039053,0.017103,0.01387,0.032911,-0.04046,-0.004245,0.008094,1
138,0.028761,0.02921,0.004232,0.005478,0.01248,-0.023903,0.02768,-0.022501,0.001642,-0.006203,1
139,0.009565,-0.003973,0.018097,0.037901,0.040251,0.016725,-0.028062,-0.019813,-0.040619,0.04681,1
140,-0.012452,-0.004784,0.01542,0.029021,0.070837,0.000136,-0.017951,-0.00133,-0.053112,0.046089,1
141,0.013092,0.030254,0.008102,0.014625,0.013531,0.028277,-0.010741,-0.02214,0.015523,0.010839,1
142,0.029266,-0.001789,0.016708,-0.013576,-0.0132,0.025207,0.012248,0.034715,-0.012299,-0.01481,1
143,0.029824,0.003094,0.018657,-0.007184,-0.012258,0.008952,0.017998,0.018982,-0.002443,-0.009576,1
144,-0.0165,-0.028167,0.004689,0.016309,-0.014333,0.010587,0.035682,-0.016284,0.012778,-0.011076,1
145,0.031227,-0.060685,-0.055247,0.021995,-0.002059,0.011852,0.055448,-0.022031,-0.009952,-0.030415,1
146,-0.018427,-0.031523,-0.011711,-0.00998,0.005822,0.015894,0.019286,-0.002367,-0.007783,-0.014981,1
147,0.083565,0.059353,0.003432,0.016869,0.016019,0.050391,0.032771,0.017787,-0.058208,-0.066755,1
148,0.008068,0.030753,0.036397,-0.003206,0.001682,0.054241,0.073377,-0.044943,-0.016345,-0.054257,1
149,0.02114,0.016354,0.00545,0.012883,0.01022,0.041661,-0.009039,-0.015356,0.013535,0.004042,1
150,0.002297,0.032363,0.004072,-0.0209,0.044898,-0.019673,0.015208,0.012781,-0.007364,-0.021654,1
151,0.012237,0.030839,-0.000124,-0.008466,0.008554,0.018508,0.008369,-0.004957,-0.013073,-0.017935,1
152,0.008763,0.004779,0.036617,-0.019568,-0.027412,-0.02287,-0.005231,-0.036525,-0.035483,-0.004076,1
153,0.017405,0.023754,0.001014,-0.009326,-0.005004,0.039571,0.010072,0.000177,-0.013841,-0.006043,1
154,0.000374,0.017869,-0.002337,-0.015408,0.002477,-0.005828,0.019888,-0.011124,-0.020375,0.001217,1
155,0.005145,0.019046,-0.000479,-0.011134,-0.011684,0.011563,0.020242,-0.012107,-0.014637,0.009139,1
156,0.010872,0.018539,0.013844,-0.023396,-0.003486,0.022241,0.005917,-0.011539,-0.020084,0.019172,1
157,-0.003682,-0.001492,0.023914,-0.046381,0.01645,0.012658,-0.012663,-0.006741,0.001086,0.01968,1
158,0.001983,0.026975,0.009926,-0.018469,0.014127,-0.036613,-0.016061,-0.031028,0.006174,0.00156,1
159,0.009372,0.018211,0.008334,-0.046771,0.022148,-0.017947,-0.000994,0.007711,0.0278,0.016523,1
160,0.008292,0.026016,0.001598,-0.029322,0.0214,-0.011073,0.008947,-0.003381,0.026683,0.013464,1
161,-0.042106,-0.013898,-0.022457,0.005233,-0.00396,-0.027833,0.013766,-0.021363,0.000905,-0.022408,1
162,0.026987,0.028781,0.004275,-0.021033,-0.021334,-0.017897,-0.002122,-0.011281,-0.044266,0.007589,1
163,0.004988,0.009053,-0.026501,0.001001,0.001966,0.02813,0.020488,0.000713,-0.028699,-0.013148,1
164,0.028677,0.022703,-0.033855,-0.015897,0.041041,-0.024207,0.018949,-0.005622,-0.000185,0.001306,1
165,0.025733,0.020843,0.000503,0.009872,0.014024,-0.023877,0.031345,-0.020078,0.009921,-0.008213,1
166,0.021631,0.021948,0.003387,0.012714,0.01637,-0.026732,0.029194,-0.022715,0.009055,-0.003781,1
167,0.01928,0.023463,0.004406,0.014502,0.018776,-0.027339,0.026915,-0.02377,0.009587,-0.002025,1
168,0.01702,0.024965,0.005553,0.016209,0.02124,-0.027952,0.024607,-0.024932,0.009893,-0.000169,1
169,0.014785,0.026455,0.00672,0.017907,0.023713,-0.028588,0.022296,-0.026101,0.010139,0.001721,1
170,-0.015535,0.047734,-0.083601,-0.03659,-0.021238,0.049495,0.02428,-0.031028,-0.034694,0.015737,1
171,-0.093194,-0.013313,0.016138,-0.022315,-0.014175,0.006712,-0.01338,-0.00303,-0.019089,0.012151,1
172,-0.076853,-0.047563,0.03145,-0.020352,0.011248,0.000866,-0.014811,0.01202,0.024131,0.001635,1
173,0.033929,-0.006337,0.020079,-0.021876,-0.004064,-0.02998,-0.017424,-0.003345,-0.006098,-0.017142,1
174,0.008051,-0.00693,-0.000364,-0.018171,-0.003011,-0.006384,0.009354,0.008473,-0.020196,-0.001803,1
175,-0.048925,0.003879,-0.01073,-0.006214,-0.028276,-0.01985,0.009418,-0.006277,-0.000705,-0.000665,1
176,-0.009431,0.03808,-0.053598,-0.019656,-0.031335,-0.000359,0.04265,0.014795,-0.013559,0.012065,1
177,0.022104,-0.008695,0.006483,-0.005384,0.020017,-0.009975,0.038152,-0.023149,-0.022197,-0.025182,1
178,0.006713,-0.023969,-0.004551,-0.025375,0.003044,-0.043475,0.032349,0.013427,0.021991,-0.066145,1
179,-0.025863,0.035031,-0.008764,0.030585,0.003385,-0.003557,0.005518,-0.00864,-0.005399,-0.007212,1
180,-0.024077,0.001963,0.001144,0.021575,-0.002118,0.025503,0.00967,0.007617,0.002333,-0.009628,1
181,-0.027432,0.010441,0.008447,0.032499,-0.004541,0.0088,0.011003,-0.01726,0.012154,-0.002346,1
182,-0.007586,-0.00869,-0.007764,0.029475,-0.002583,0.019098,0.016302,-0.011143,0.006234,-0.016952,1
183,-0.030606,-0.081164,-0.06071,0.028018,0.034685,-0.104265,0.018817,-0.020321,-0.053877,-0.086432,1
184,0.000628,0.01085,0.013752,-0.005169,0.024486,0.008893,-0.009474,-0.002128,0.045534,-0.010618,1
185,-0.021282,-0.005325,-0.045408,0.038469,-0.006172,0.007572,0.005966,-0.007239,-0.028048,0.000141,1
186,-0.05878,-0.029622,0.003234,0.028674,-0.026588,0.033654,-0.004081,0.002061,-0.007102,0.019224,1
187,0.018622,-0.009552,0.063418,-0.016828,0.007509,-0.035907,0.013463,0.004277,0.007216,-0.013359,1
188,-0.022883,0.015506,-0.02642,-0.028041,-0.010187,0.00747,-0.001553,0.000147,0.007402,0.035963,1
189,0.009981,-0.008104,0.01984,-0.01753,-0.024956,0.010315,0.02281,0.012291,0.021553,0.013849,1
190,0.032691,-0.021657,-0.021976,0.013764,0.024312,-0.032618,0.021391,-0.032112,-0.00492,-0.026672,1
191,0.00022,0.032117,-0.013463,0.018584,-0.006051,0.015099,0.012063,-0.015505,0.011146,0.002439,1
192,-0.01165,0.034175,0.021383,-0.014627,-0.020925,0.001429,0.018898,-0.012313,-0.00272,0.062291,1
193,-0.004721,0.046963,0.027276,-0.040809,-0.015333,-0.033552,-0.00297,0.000544,-0.014068,0.063766,1
194,-0.006389,-0.006524,0.016132,-0.025976,-0.020279,-0.011778,-0.00002,-0.001387,-0.005366,0.012552,1
195,0.008511,0.062571,-0.011868,-0.02094,0.021714,-0.002263,0.005495,0.005144,-0.003115,0.00612,1
196,0.018802,0.01518,-0.008258,-0.017018,-0.017005,0.012161,0.018048,-0.026115,0.006858,0.002933,1
197,-0.000417,0.031811,0.017759,0.02062,-0.022987,0.038824,-0.014793,-0.069791,0.025867,-0.026589,1
198,0.041005,0.028886,-0.011141,0.021733,-0.03153,0.047354,0.002659,0.013673,-0.037164,-0.036619,1
199,-0.037232,-0.057457,-0.067146,-0.035228,0.01099,-0.013988,0.030275,-0.083151,-0.007026,0.011199,1
200,-0.134117,0.048065,-0.011062,-0.020626,-0.004624,0.059795,-0.054861,0.012378,-0.016724,-0.075107,1
201,-0.017464,0.029019,-0.019185,-0.028954,0.005598,-0.003372,0.011072,0.006555,-0.004384,0.012808,1
202,-0.08298,0.199065,0.00527,0.079496,0.040631,-0.013844,-0.061205,-0.028149,-0.146594,-0.037691,1
203,0.003126,-0.023931,0.009258,0.008686,-0.01423,0.063305,0.015436,-0.000848,0.028047,-0.020914,1
204,0.022615,-0.04028,-0.084205,0.016723,-0.00088,0.050182,0.030421,0.008976,-0.011653,-0.025524,1
205,-0.011046,-0.004188,0.016121,0.007776,-0.007913,-0.014326,0.042158,0.001683,0.007076,-0.008917,1
206,-0.025974,-0.008447,0.014371,-0.001729,-0.047713,0.10112,0.005811,-0.00388,0.018506,0.016255,1
207,0.011547,0.018164,-0.000008,-0.007724,-0.046985,-0.030716,0.030819,0.001056,-0.023182,0.00981,1
208,0.030727,0.027412,-0.025192,0.003851,-0.039268,-0.009134,0.038298,-0.003288,-0.024069,0.005625,1
209,-0.000478,0.013277,0.058057,-0.024194,0.014377,-0.032347,-0.002325,-0.003331,-0.006158,-0.010675,1
210,-0.017557,-0.004099,0.03787,0.058204,-0.002201,0.016931,0.025644,-0.031856,0.036475,-0.035318,1
211,0.039362,-0.033739,-0.139917,0.049025,0.013601,0.022324,0.03343,-0.015252,-0.071155,0.008927,1
212,0.031126,0.048681,-0.038131,-0.009136,-0.032177,0.015443,0.013664,-0.012386,-0.016735,0.002811,1
213,0.025158,-0.01824,-0.040886,0.027664,0.007172,0.00296,0.072203,0.008913,-0.013213,-0.005074,1
214,-0.035586,0.029365,0.009573,-0.004953,-0.038607,-0.006829,0.010177,0.009843,0.010136,0.003208,1
215,-0.028084,0.027895,-0.009649,-0.030368,-0.012184,0.000127,-0.009434,-0.009715,-0.021259,0.026367,1
216,-0.021162,0.011754,0.001847,-0.030629,0.001618,-0.001675,-0.016649,-0.005306,-0.006783,0.019757,1
217,-0.043911,0.085783,-0.061919,0.080712,0.014052,0.023655,-0.057629,0.010623,-0.098649,0.002806,1
218,-0.071727,-0.06443,0.028755,-0.019671,-0.041477,0.02484,0.009591,0.014465,-0.018552,-0.008223,1
219,0.012395,-0.025383,-0.071612,0.032686,-0.005826,-0.055563,0.052941,-0.050357,-0.057969,0.026183,1
220,-0.015355,-0.027659,0.053229,-0.023011,-0.002281,0.039472,0.045635,-0.041578,-0.01268,-0.042426,1
221,-0.017908,-0.018315,0.012586,0.016282,0.010674,-0.02824,0.037413,-0.002205,-0.003309,-0.017619,1
222,-0.050845,-0.028507,0.012676,-0.014912,-0.030147,0.005276,-0.007073,0.000535,0.012315,0.008652,1
223,-0.045398,-0.013471,-0.030402,-0.020163,-0.032395,0.037578,0.0363,-0.013904,0.009336,0.005341,1
224,0.041235,0.018301,-0.036083,-0.004577,0.015374,0.007229,0.022222,-0.023333,-0.001734,-0.008293,1
225,0.009662,-0.025222,-0.006768,0.018434,0.008239,-0.017687,-0.024747,-0.011204,-0.02597,0.001055,1
226,0.049168,-0.047485,-0.021674,-0.036333,-0.023269,0.018059,-0.191372,0.026911,0.006156,-0.151767,1
227,0.049168,-0.047485,-0.021674,-0.036332,-0.023269,0.01806,-0.191372,0.026911,0.006158,-0.151768,1
228,0.049167,-0.047485,-0.021675,-0.036331,-0.02327,0.01806,-0.191372,0.026912,0.006159,-0.151769,1
229,0.049166,-0.047485,-0.021676,-0.03633,-0.02327,0.018061,-0.191372,0.026912,0.006161,-0.15177,1
230,0.049165,-0.047484,-0.021676,-0.03633,-0.02327,0.018061,-0.191371,0.026913,0.006163,-0.151771,1
231,0.049165,-0.047484,-0.021677,-0.036329,-0.02327,0.018062,-0.191371,0.026913,0.006164,-0.151772,1
