@relation kmeans

@attribute 'distance to cluster 1' numeric
@attribute 'distance to cluster 2' numeric
@attribute diagnosis {TRUE,FALSE}

@data
1.335186,0.637642,TRUE
1.289871,0.769878,TRUE
1.489104,0.443189,TRUE
1.322554,0.600708,TRUE
0.292683,1.321467,FALSE
1.312994,0.433571,TRUE
2.178759,1.009856,TRUE
1.702993,0.876711,TRUE
0.286499,1.263141,FALSE
1.148878,0.703886,TRUE
0.374478,1.585579,FALSE
1.207036,0.704961,TRUE
0.644519,1.254156,FALSE
0.598777,1.413983,FALSE
1.614084,0.616409,TRUE
0.216281,1.4712,FALSE
2.772088,2.017425,TRUE
1.733623,1.290241,TRUE
1.398866,0.705896,TRUE
1.228308,0.592655,TRUE
0.428525,1.307543,FALSE
0.419408,1.582586,FALSE
1.566589,0.444639,TRUE
1.748582,0.858808,TRUE
0.44133,1.444321,FALSE
0.425349,1.311522,FALSE
0.354334,1.5518,FALSE
1.275731,0.433819,TRUE
0.307222,1.406974,FALSE
0.511633,1.329483,FALSE
0.374629,1.616043,FALSE
0.538651,1.248256,FALSE
0.47917,1.343178,FALSE
1.446396,0.705648,TRUE
1.528005,0.482728,TRUE
0.650382,1.67572,FALSE
0.855594,1.734193,FALSE
1.568638,0.625005,TRUE
0.446615,1.647795,FALSE
0.378418,1.410101,FALSE
2.085015,0.924318,TRUE
1.455021,0.673477,TRUE
0.76144,1.382589,FALSE
1.649085,0.780381,TRUE
0.320322,1.394224,FALSE
0.472596,1.644067,FALSE
0.9069,1.39888,FALSE
0.441737,1.426179,FALSE
1.462002,0.339576,TRUE
0.590379,1.560085,FALSE
0.390894,1.510016,FALSE
0.910027,1.359263,FALSE
0.508752,1.513255,FALSE
0.237539,1.431547,FALSE
1.834067,0.672764,TRUE
0.257093,1.502997,FALSE
1.862404,0.727239,TRUE
1.286471,0.440483,TRUE
1.524132,0.435298,TRUE
1.127839,0.599584,TRUE
1.756933,0.590883,TRUE
1.685859,0.797623,TRUE
2.051993,1.100649,TRUE
1.714263,0.872537,TRUE
1.583501,0.562516,TRUE
1.204406,0.87027,TRUE
1.365329,0.53659,TRUE
1.152372,0.937071,TRUE
1.340833,0.468891,TRUE
2.016051,1.094202,TRUE
0.345229,1.424474,FALSE
0.391448,1.417461,FALSE
0.313658,1.436304,FALSE
0.470177,1.409878,FALSE
0.637338,1.681028,FALSE
0.353205,1.519337,FALSE
1.888039,0.756716,TRUE
0.469575,1.645002,FALSE
1.263465,0.710464,TRUE
0.638628,1.489631,FALSE
0.472122,1.688031,FALSE
1.266827,0.757443,TRUE
0.453653,1.535688,FALSE
0.353678,1.3577,FALSE
1.624445,0.423205,TRUE
0.469545,1.540419,FALSE
1.531034,0.345489,TRUE
1.370615,0.407833,TRUE
0.48642,1.399956,FALSE
0.452791,1.648108,FALSE
0.454547,1.345737,FALSE
0.56458,1.660823,FALSE
0.953674,1.582619,FALSE
0.397325,1.54005,FALSE
1.2103,1.568853,FALSE
0.456818,1.191521,FALSE
0.343125,1.349267,FALSE
0.264327,1.447508,FALSE
0.350004,1.525763,FALSE
0.410251,1.533066,FALSE
0.55644,1.746159,FALSE
1.075423,1.117737,TRUE
0.505366,1.472825,FALSE
0.444095,1.619009,FALSE
1.713711,0.513982,TRUE
0.263357,1.375556,FALSE
1.759817,0.609346,TRUE
0.36361,1.575519,FALSE
0.256976,1.519064,FALSE
0.525058,1.57384,FALSE
0.44883,1.602087,FALSE
0.607578,1.826228,FALSE
0.660882,1.726003,FALSE
0.54095,1.652032,FALSE
0.329963,1.531168,FALSE
0.527278,1.539186,FALSE
0.313388,1.434235,FALSE
0.53222,1.66275,FALSE
1.043868,1.970119,FALSE
0.562686,1.705002,FALSE
0.54612,1.717344,FALSE
1.338541,0.41555,TRUE
1.089601,1.582081,FALSE
0.606787,1.703131,FALSE
0.480533,1.459462,FALSE
1.425027,0.700905,TRUE
0.409609,1.382459,FALSE
1.991097,0.86208,TRUE
0.265411,1.497206,FALSE
0.25661,1.467656,FALSE
0.447196,1.517877,FALSE
0.487406,1.678148,FALSE
1.294686,0.321554,TRUE
1.266966,0.576146,TRUE
1.296096,0.451082,TRUE
0.399169,1.286285,FALSE
0.580073,1.642427,FALSE
0.419994,1.662251,FALSE
0.365669,1.572855,FALSE
1.41074,0.418771,TRUE
0.406429,1.493736,FALSE
1.541175,0.388565,TRUE
0.337458,1.538017,FALSE
2.022954,0.931515,TRUE
0.493447,1.176238,FALSE
0.482826,1.484148,FALSE
0.350647,1.424989,FALSE
1.652727,0.547753,TRUE
0.38143,1.465946,FALSE
0.650311,1.660794,FALSE
0.292279,1.524182,FALSE
0.469759,1.314931,FALSE
0.329754,1.528348,FALSE
0.532539,1.531491,FALSE
0.434209,1.633186,FALSE
1.829044,0.972075,TRUE
2.496155,1.37723,TRUE
1.273527,0.504583,TRUE
0.501072,1.630964,FALSE
0.414879,1.363616,FALSE
0.490706,1.229485,FALSE
0.368511,1.495992,FALSE
0.491676,1.650229,FALSE
0.374048,1.583493,FALSE
0.589587,1.711941,FALSE
0.325813,1.430187,FALSE
0.165725,1.400183,FALSE
0.505283,1.260132,FALSE
0.343978,1.477095,FALSE
1.464703,0.54612,TRUE
1.726459,0.60759,TRUE
0.23892,1.382782,FALSE
1.846712,0.991282,TRUE
1.942735,0.787819,TRUE
1.548072,0.510638,TRUE
0.496814,1.451029,FALSE
1.580067,0.56394,TRUE
1.583353,0.587282,TRUE
0.373461,1.446932,FALSE
0.567176,1.219501,FALSE
1.168643,1.560662,FALSE
0.617381,1.538847,FALSE
0.39463,1.35752,FALSE
1.863699,1.253496,TRUE
0.567629,1.373058,FALSE
0.314537,1.527473,FALSE
0.622739,1.460605,FALSE
0.436883,1.307026,FALSE
0.397818,1.41619,FALSE
1.134645,0.747088,TRUE
0.340142,1.428139,FALSE
0.521891,1.575091,FALSE
0.691245,1.512928,FALSE
1.588894,0.654363,TRUE
0.417582,1.602592,FALSE
0.685296,1.775873,FALSE
1.470606,0.330428,TRUE
1.985414,0.776905,TRUE
0.2638,1.393504,FALSE
0.356736,1.446162,FALSE
0.45496,1.208534,FALSE
0.370728,1.416746,FALSE
0.389915,1.589927,FALSE
0.19977,1.46855,FALSE
1.869293,0.828778,TRUE
0.394558,1.538679,FALSE
0.38158,1.435563,FALSE
0.269914,1.409821,FALSE
0.438636,1.60673,FALSE
0.28346,1.455088,FALSE
0.503096,1.283866,FALSE
0.449627,1.440639,FALSE
1.365283,0.263543,TRUE
0.345579,1.397617,FALSE
0.454286,1.480992,FALSE
0.274428,1.477405,FALSE
0.513201,1.677615,FALSE
0.54264,1.191345,FALSE
1.236032,1.000143,TRUE
0.29702,1.401925,FALSE
0.673289,1.65788,FALSE
1.587137,0.538744,TRUE
0.361819,1.500471,FALSE
0.378176,1.561737,FALSE
0.240963,1.415961,FALSE
0.768839,1.227797,FALSE
0.35318,1.365826,FALSE
0.448304,1.208336,FALSE
0.648797,1.618671,FALSE
0.489401,1.700585,FALSE
0.373706,1.414287,FALSE
0.361943,1.457769,FALSE
0.41349,1.668739,FALSE
0.434556,1.600446,FALSE
1.733648,0.824639,TRUE
0.381751,1.359243,FALSE
1.61212,0.465681,TRUE
1.46383,0.27955,TRUE
0.357452,1.386911,FALSE
1.231214,0.565969,TRUE
0.258503,1.419699,FALSE
0.274961,1.394827,FALSE
0.373155,1.451037,FALSE
0.444299,1.506065,FALSE
0.593452,1.328327,FALSE
1.388244,0.522678,TRUE
0.497486,1.587443,FALSE
0.615798,1.716016,FALSE
1.268736,0.535475,TRUE
0.410576,1.339584,FALSE
1.512995,0.455501,TRUE
0.390683,1.331901,FALSE
0.450834,1.294813,FALSE
1.671805,0.594598,TRUE
0.634656,1.469642,FALSE
1.439077,0.549879,TRUE
0.551361,1.477523,FALSE
0.45192,1.317164,FALSE
0.321212,1.434849,FALSE
0.731865,1.488129,FALSE
0.659548,1.454588,FALSE
0.488682,1.475152,FALSE
0.491559,1.516173,FALSE
0.639984,1.681849,FALSE
1.404311,0.463761,TRUE
3.069173,2.084601,TRUE
0.581114,1.482205,FALSE
0.261368,1.468427,FALSE
0.394384,1.420507,FALSE
0.836757,1.301219,FALSE
0.453342,1.238363,FALSE
0.418801,1.648236,FALSE
1.663326,0.664691,TRUE
0.722347,1.320685,FALSE
0.37142,1.54122,FALSE
0.626078,1.540031,FALSE
0.519314,1.333182,FALSE
0.950833,1.811061,FALSE
0.470025,1.470666,FALSE
0.339054,1.367831,FALSE
0.457574,1.238207,FALSE
0.482189,1.515174,FALSE
0.258466,1.437949,FALSE
1.455496,0.512392,TRUE
0.275149,1.472259,FALSE
0.414618,1.422803,FALSE
0.467698,1.316528,FALSE
0.29444,1.373023,FALSE
0.723243,1.260649,FALSE
0.902808,1.351079,FALSE
0.449197,1.389569,FALSE
1.611968,0.374086,TRUE
0.316958,1.394442,FALSE
1.246018,0.916632,TRUE
0.392491,1.476373,FALSE
0.797398,1.475624,FALSE
1.333499,0.373181,TRUE
0.526789,1.688237,FALSE
0.355016,1.488816,FALSE
0.41843,1.297927,FALSE
0.545447,1.253326,FALSE
0.291487,1.395472,FALSE
1.406447,0.352579,TRUE
1.655749,0.434282,TRUE
0.494557,1.266239,FALSE
1.37897,0.66784,TRUE
0.397709,1.378115,FALSE
1.977691,0.974795,TRUE
1.342078,1.800139,FALSE
1.334803,1.780701,FALSE
0.408845,1.359365,FALSE
0.664979,1.510591,FALSE
0.555827,1.304895,FALSE
1.551462,0.610729,TRUE
0.446238,1.457468,FALSE
0.457925,1.469768,FALSE
1.347967,0.553322,TRUE
0.44495,1.31686,FALSE
1.099621,0.722712,TRUE
0.288164,1.432469,FALSE
1.364172,0.312997,TRUE
1.462337,0.381818,TRUE
0.528034,1.290848,FALSE
0.362218,1.3568,FALSE
0.893113,1.680958,FALSE
2.115739,0.969704,TRUE
0.415636,1.647659,FALSE
0.346344,1.24179,FALSE
0.366469,1.5615,FALSE
0.570728,1.641751,FALSE
0.519429,1.272568,FALSE
0.416438,1.481024,FALSE
0.745831,1.40792,FALSE
0.408156,1.479498,FALSE
0.331038,1.363062,FALSE
0.379353,1.378409,FALSE
0.37564,1.433244,FALSE
1.528528,0.546185,TRUE
0.328341,1.427234,FALSE
1.668876,0.489654,TRUE
1.186563,0.596172,TRUE
0.800288,1.389632,FALSE
0.761641,1.833058,FALSE
0.891174,1.67782,FALSE
0.393634,1.461129,FALSE
0.641306,1.168173,FALSE
0.514471,1.325649,FALSE
0.579115,1.458995,FALSE
0.265763,1.355523,FALSE
0.321413,1.377727,FALSE
0.387274,1.656826,FALSE
0.338429,1.505403,FALSE
0.347444,1.625766,FALSE
0.470513,1.550053,FALSE
0.559942,1.742593,FALSE
0.370239,1.463144,FALSE
0.600133,1.534608,FALSE
0.516894,1.680696,FALSE
0.555872,1.452288,FALSE
0.610589,1.519404,FALSE
0.468932,1.666864,FALSE
0.815124,1.81983,FALSE
0.569897,1.260104,FALSE
0.678016,1.43014,FALSE
0.523997,1.291664,FALSE
1.072381,1.94868,FALSE
1.952961,1.068799,TRUE
2.016334,0.834983,TRUE
1.830093,0.775122,TRUE
1.583021,0.6651,TRUE
1.277728,0.61645,TRUE
2.337043,1.212673,TRUE
0.795635,1.897561,FALSE
