@RELATION csv_result-credit_edit

@ATTRIBUTE id REAL
@ATTRIBUTE source_0 REAL
@ATTRIBUTE source_1 REAL
@ATTRIBUTE source_2 REAL
@ATTRIBUTE source_3 REAL
@ATTRIBUTE source_4 REAL
@ATTRIBUTE source_5 REAL
@ATTRIBUTE source_6 REAL
@ATTRIBUTE source_7 REAL
@ATTRIBUTE source_8 REAL
@ATTRIBUTE source_9 REAL
@ATTRIBUTE source_10 REAL
@ATTRIBUTE source_11 REAL
@ATTRIBUTE source_12 REAL
@ATTRIBUTE source_13 REAL
@ATTRIBUTE source_14 REAL
@ATTRIBUTE source_15 REAL
@ATTRIBUTE source_16 REAL
@ATTRIBUTE source_17 REAL
@ATTRIBUTE source_18 REAL
@ATTRIBUTE source_19 REAL
@ATTRIBUTE source_20 REAL
@ATTRIBUTE source_21 REAL
@ATTRIBUTE source_22 REAL
@ATTRIBUTE source_23 REAL
@ATTRIBUTE source_24 REAL
@ATTRIBUTE source_25 REAL
@ATTRIBUTE source_26 REAL
@ATTRIBUTE source_27 REAL
@ATTRIBUTE source_28 REAL
@ATTRIBUTE source_29 REAL
@ATTRIBUTE source_30 REAL
@ATTRIBUTE class {0,1}

@DATA
11,0.035075,-0.007227,0.02481,0.002702,0.007456,0.014735,-0.037133,0.017568,0.015682,0.032689,0.040889,0.031196,-0.057167,-0.042304,-0.018124,-0.024812,-0.031111,-0.002574,0.028211,-0.002738,0.002452,0.040665,-0.042892,0.018663,-0.072023,-0.02976,-0.00364,0.027745,-0.000285,0.067103,-0.056474,1
12,0.021773,-0.014337,0.029485,-0.009719,0.01152,0.006449,-0.042615,0.02183,0.023373,0.049953,0.029099,0.04515,-0.075606,-0.031175,0.005182,-0.01611,-0.028914,-0.003222,0.012374,0.001507,0.029321,0.024232,-0.06066,0.007537,-0.068342,-0.0366,-0.00861,0.025999,0.020431,0.067728,-0.040659,1
13,-0.015573,0.020754,-0.014956,0.018976,-0.011456,0.015077,-0.029158,-0.023234,0.054683,0.034082,0.024263,0.004878,-0.019502,-0.032693,0.030719,-0.023515,-0.003479,-0.008531,0.000276,0.000289,-0.018698,-0.013965,-0.004013,-0.003244,-0.05073,0.00435,0.021253,0.03011,-0.020398,-0.00466,-0.000459,1
14,0.008435,0.011369,0.01256,0.008861,-0.003029,0.007505,-0.00972,-0.012196,0.038007,0.033684,0.013659,0.009233,-0.014557,-0.037009,-0.002006,-0.03368,0.00992,0.00155,-0.002953,0.008817,-0.031611,0.041034,-0.04014,0.003646,-0.046914,0.022752,0.03934,0.043233,-0.010061,0.014818,-0.001185,1
15,0.034624,-0.036954,-0.016817,0.030421,-0.028476,0.029978,-0.003502,-0.000362,0.033299,0.021225,0.027622,0.017107,-0.071231,-0.040046,-0.029948,-0.017658,-0.067429,0.007027,0.030208,-0.052109,-0.002088,-0.021119,0.013276,-0.00383,-0.054129,0.000934,-0.022902,0.039032,0.028935,0.048284,-0.033333,1
16,-0.007295,-0.009885,-0.011694,0.030162,-0.032585,0.032705,0.020279,-0.025039,0.034426,0.031148,0.004275,-0.020606,-0.013483,-0.02793,0.001895,-0.028818,-0.02994,0.010867,-0.012713,-0.030016,-0.064726,-0.012436,0.014972,-0.006957,-0.043624,0.080331,0.011837,0.048149,0.043515,-0.036121,0.018927,1
17,0.011297,-0.009787,-0.003552,0.042944,-0.034395,0.014707,-0.002023,-0.020374,0.023086,0.030007,0.011278,-0.005409,-0.007045,-0.054247,-0.005412,-0.031175,0.002919,0.001444,-0.017526,-0.059059,-0.052408,-0.022407,0.016068,-0.001503,-0.02842,0.065988,0.000911,0.027566,0.040773,-0.013245,0.026628,1
18,0.01719,0.00584,0.003279,0.010077,-0.012765,0.02171,-0.04456,0.016334,0.018397,0.036841,0.052016,0.021162,-0.043031,-0.03704,-0.004677,-0.016861,-0.03658,0.00171,0.024931,-0.011441,-0.002588,0.001602,-0.017646,0.018565,-0.089512,-0.041927,-0.016987,0.009666,-0.0073,0.056319,-0.059474,1
19,0.01777,0.005707,0.008077,0.014977,-0.015706,0.026499,-0.043911,0.019095,0.016944,0.035345,0.050841,0.021085,-0.036868,-0.037611,-0.003309,-0.013629,-0.032744,0.003277,0.024628,-0.00816,-0.000454,0.001167,-0.022726,0.021631,-0.086902,-0.03931,-0.021602,0.00906,-0.004696,0.057527,-0.061818,1
20,-0.009205,0.024584,-0.008965,0.016683,-0.023138,0.01477,-0.017077,-0.013369,0.04105,0.037882,0.024675,-0.000343,-0.000656,-0.031384,0.011453,-0.025518,0.004518,0.005352,-0.005887,-0.000212,-0.036398,0.001997,-0.014795,0.003874,-0.064673,0.010825,0.026406,0.025095,-0.01673,0.003952,-0.004464,1
21,-0.012068,0.020164,-0.007944,0.019342,-0.023279,0.011367,-0.017475,-0.006116,0.043553,0.037674,0.028178,0.00233,0.0016,-0.031743,0.016489,-0.02847,0.002842,0.00577,-0.005754,-0.0034,-0.034882,0.002228,-0.019933,0.002387,-0.063533,0.011063,0.022965,0.025369,-0.018334,0.002179,-0.002321,1
22,0.056899,0.03994,0.025117,-0.020539,0.02325,-0.019797,-0.009785,0.032554,-0.023249,0.08033,-0.025877,0.003829,-0.053012,-0.042146,0.004062,0.006326,0.014622,0.000078,-0.034558,0.045639,-0.019282,0.010335,0.068806,0.027856,-0.066238,0.018794,-0.014086,-0.01023,0.021151,-0.068236,-0.013388,1
23,0.001481,-0.011863,-0.025127,0.033611,-0.028991,0.010404,0.032004,-0.017358,0.054448,0.030524,0.004552,-0.004004,-0.015201,-0.037369,-0.004193,-0.010702,-0.022137,0.009876,-0.003504,-0.045001,-0.039045,-0.030073,0.00553,-0.019411,-0.039784,0.054564,0.020533,0.054895,0.015481,-0.009351,0.027966,1
24,-0.00033,-0.014622,-0.024209,0.032565,-0.030403,0.013678,0.030577,-0.015603,0.054558,0.029831,0.004915,-0.002646,-0.013074,-0.037822,-0.002867,-0.010929,-0.020142,0.010921,-0.005003,-0.045373,-0.039475,-0.027776,0.000637,-0.018381,-0.039739,0.057053,0.018519,0.055461,0.017724,-0.009032,0.027269,1
25,0.069182,-0.064247,-0.00965,0.066511,-0.028742,0.118212,0.141868,0.004518,0.052996,-0.141188,0.044383,0.033491,0.020888,-0.078682,0.119095,-0.0247,0.048524,-0.083437,-0.058815,0.050857,-0.013566,0.053696,0.102422,-0.050838,-0.056961,-0.098726,0.065787,-0.023377,0.101602,0.048245,0.040654,1
26,-0.022351,0.008453,0.040435,0.013846,-0.000037,0.018285,-0.02317,-0.044666,-0.003286,0.079169,0.023272,-0.010476,0.021804,-0.044852,0.006263,0.014452,0.005693,0.013268,-0.052728,-0.044532,-0.06949,-0.042578,0.024447,0.048179,-0.016394,0.052631,0.020128,0.006986,0.069661,-0.026752,0.04227,1
27,0.026149,-0.02158,0.007452,0.031851,-0.001674,0.0064,-0.008901,-0.048035,0.02996,0.019292,-0.001083,-0.002591,-0.046857,-0.064562,-0.007048,-0.038867,-0.006949,-0.014238,-0.008498,-0.039788,-0.03302,-0.004462,0.023283,-0.011521,0.015149,0.059725,0.013335,0.052622,0.032486,-0.009577,0.035659,1
28,-0.015819,0.023983,0.052064,-0.014012,0.018684,0.030135,-0.065055,-0.005191,-0.009343,0.084543,0.0628,0.016124,-0.008071,-0.02813,0.008351,0.032056,-0.029959,0.014982,-0.01047,0.00629,-0.017466,-0.019001,-0.014326,0.071391,-0.074951,-0.052594,-0.002292,-0.011545,0.024272,0.043995,-0.046239,1
29,-0.035357,0.004952,0.023712,0.004967,0.006189,0.021895,0.003888,-0.04257,0.020555,0.077147,0.018151,-0.008834,0.015321,-0.029417,0.007153,0.02837,-0.015524,0.024211,-0.041699,-0.029879,-0.060974,-0.04377,0.011255,0.036635,-0.028438,0.045624,0.03251,0.02968,0.055361,-0.023349,0.039502,1
30,0.040368,-0.042312,0.002873,0.012216,0.013498,0.023483,-0.010275,-0.021706,0.028367,0.01544,0.018191,0.018851,-0.095653,-0.055207,-0.025816,-0.01386,-0.065597,-0.005815,0.031173,-0.033251,0.007001,-0.003956,0.007423,-0.006165,-0.02245,0.001814,-0.016571,0.06035,0.031166,0.048417,-0.024724,1
31,0.047247,0.030874,0.041193,0.044761,0.011461,-0.047989,-0.005729,-0.001148,-0.031482,0.080146,-0.000727,-0.01512,-0.022864,-0.038135,0.002073,0.012003,0.025086,-0.010653,-0.038116,0.031909,-0.0029,-0.007662,0.039221,-0.033933,-0.051081,0.01293,-0.006707,0.000362,0.033026,-0.042354,0.00847,1
32,0.062522,0.019294,0.04335,0.027814,0.007069,-0.035879,-0.006258,0.009375,-0.034354,0.077363,0.006543,-0.013563,-0.043788,-0.033544,-0.000784,0.02799,0.001286,-0.016403,-0.024999,0.037314,0.011745,-0.008497,0.036655,-0.026673,-0.066803,-0.007474,-0.012948,0.006094,0.035433,-0.016852,-0.018649,1
33,0.042845,0.095725,-0.014243,0.07753,0.074463,-0.054905,0.089119,0.041229,-0.020615,0.00661,-0.020229,-0.044414,-0.093245,-0.022683,-0.022744,-0.053329,-0.01863,0.021036,0.019797,0.052265,0.004791,-0.022243,0.06293,-0.018612,-0.084518,-0.024127,0.026841,-0.016897,0.014333,0.013763,0.042509,1
34,-0.006556,-0.012239,0.027609,-0.009771,0.0131,0.024232,-0.012593,-0.018073,0.009444,0.075323,0.038843,0.010347,-0.024318,-0.036781,-0.01248,0.050086,-0.04865,0.021275,-0.011162,-0.039386,-0.020756,-0.05191,0.003002,0.04734,-0.051181,-0.010956,0.00173,0.024481,0.052698,0.039675,-0.009697,1
35,-0.014174,0.022688,0.03977,-0.019647,0.015349,0.010943,-0.046987,-0.002192,0.01226,0.085039,0.058825,0.015078,-0.003773,-0.030297,0.010282,0.046863,-0.02615,0.014883,-0.00786,0.003929,-0.004408,-0.034218,-0.02281,0.059755,-0.069862,-0.062253,0.013418,0.003338,-0.001564,0.05504,-0.032296,1
36,-0.033016,0.005911,0.011265,-0.00273,0.003039,0.006883,0.021568,-0.044899,0.04087,0.07632,0.011416,-0.011016,0.019728,-0.032212,0.005411,0.044737,-0.006596,0.024566,-0.039851,-0.030706,-0.048748,-0.058115,0.002709,0.028691,-0.024182,0.037399,0.050102,0.044361,0.033234,-0.008798,0.051625,1
37,-0.004091,-0.011203,0.015184,-0.017234,0.010024,0.009322,0.005087,-0.020394,0.029967,0.074568,0.032019,0.008382,-0.020042,-0.03942,-0.014256,0.066591,-0.039734,0.021374,-0.009094,-0.040384,-0.008363,-0.066262,-0.005499,0.039564,-0.047112,-0.018999,0.019497,0.039098,0.030737,0.054176,0.002275,1
38,-0.002733,-0.009916,0.010986,-0.019833,0.009224,0.006059,0.010874,-0.022904,0.036819,0.074057,0.02865,0.007912,-0.018856,-0.040047,-0.016147,0.072918,-0.034983,0.020932,-0.00812,-0.04061,-0.00414,-0.070741,-0.008244,0.038613,-0.046423,-0.020827,0.026547,0.043779,0.025078,0.060048,0.005325,1
39,0.051085,0.091348,0.008774,0.126839,0.061606,-0.077913,0.050671,0.022851,-0.041072,0.056349,-0.051828,0.000032,-0.056121,-0.018257,-0.023228,-0.039365,-0.009337,0.027132,0.00701,0.023799,-0.023287,-0.015791,0.069194,-0.0869,-0.053879,-0.045945,-0.035094,-0.031044,-0.014586,0.017841,0.013155,1
40,0.042533,-0.021713,0.029118,0.020455,-0.016229,0.002071,-0.01675,0.009281,0.020869,0.028545,-0.01281,-0.022283,-0.015327,-0.044133,-0.009943,-0.056922,0.02343,0.037958,-0.02629,0.019525,0.024629,0.014642,0.020823,0.022793,0.003041,0.006943,0.007569,0.044085,-0.007836,-0.00019,0.02346,1
41,0.032129,-0.014995,0.01476,0.017083,0.008633,0.01092,-0.027627,0.002448,0.025497,0.008335,-0.017416,-0.020564,-0.030938,-0.062804,0.021049,-0.045608,0.035592,0.014763,-0.01697,0.019551,0.035963,-0.005733,0.018945,0.006423,-0.00396,0.015669,-0.018301,0.054478,-0.005096,-0.013721,0.018449,1
42,0.013307,-0.004817,0.031382,0.038158,-0.034976,0.026246,0.010317,0.016306,0.016985,0.035769,0.010692,-0.072253,-0.041562,-0.011268,0.002833,-0.030477,-0.008066,0.028614,-0.012415,0.067989,0.011578,0.019867,-0.030221,-0.012857,0.000574,0.032641,0.027131,0.028781,0.00437,0.014453,0.013815,1
43,-0.004316,-0.010474,0.006775,-0.028,0.006813,-0.000129,0.016508,-0.02575,0.039314,0.071716,0.027046,0.002043,-0.014958,-0.045044,-0.01725,0.076233,-0.030804,0.026559,-0.012421,-0.036919,-0.003562,-0.075301,-0.012044,0.033694,-0.041854,-0.026414,0.028864,0.049731,0.015339,0.067187,0.011634,1
44,0.00078,-0.046689,0.023985,0.002677,0.001821,0.033683,0.051332,0.039104,0.036304,0.008654,0.077075,-0.004856,0.009504,-0.040102,0.077003,0.067709,-0.028803,-0.005391,-0.015387,0.023131,0.024559,-0.042783,0.001139,0.026035,-0.063344,-0.097288,0.068538,0.011579,-0.011343,0.081922,0.04862,1
45,0.074198,0.162904,-0.039371,-0.036677,0.128425,0.207122,0.102004,0.138475,0.181849,0.006004,-0.068838,-0.159291,0.103699,-0.048711,0.106411,-0.049314,-0.039583,-0.048214,-0.147872,-0.201474,-0.06643,0.052339,-0.038041,-0.101743,0.177434,-0.248975,0.140816,0.035828,0.097427,0.052617,-0.177079,1
46,-0.033152,-0.019571,-0.044057,0.048944,0.043652,0.041294,-0.023539,-0.024178,0.042694,0.008154,-0.001561,0.008101,0.001924,-0.030607,-0.03846,-0.053674,0.001983,0.028954,-0.102777,-0.014194,-0.063935,0.01918,-0.011247,0.014981,0.069508,-0.02693,-0.007224,-0.019838,0.115159,-0.024919,-0.069773,1
47,-0.043641,-0.082149,-0.009484,0.080376,0.032366,0.00345,-0.029548,0.032351,0.016881,-0.030185,0.089038,0.013845,-0.030508,-0.009095,0.003753,-0.03839,-0.008081,0.019283,-0.047397,0.087173,0.012971,0.007545,-0.015387,0.071029,-0.005491,-0.075509,-0.017779,-0.059013,0.065901,0.025783,-0.060483,1
48,-0.047097,-0.066993,-0.045766,0.068503,0.019095,0.014558,-0.028581,-0.04305,0.018708,-0.009181,0.018712,0.042775,-0.011224,-0.02795,-0.037301,-0.04506,0.010734,0.032669,-0.093751,0.033928,-0.052655,0.013836,-0.00206,0.031836,0.039851,-0.002974,-0.013988,-0.029631,0.103325,-0.028877,-0.023589,1
49,-0.035373,-0.086287,-0.036862,0.05718,0.025984,-0.00671,-0.025285,-0.025493,0.019711,-0.023395,0.043564,0.037747,-0.04625,-0.022461,-0.040517,-0.039307,-0.017522,0.026154,-0.057655,0.042633,-0.017983,-0.004946,-0.009971,0.068505,0.010089,-0.036418,-0.027213,-0.025859,0.106308,0.025423,-0.053313,1
50,-0.033864,-0.084957,-0.04106,0.05473,0.025073,-0.009406,-0.019005,-0.027697,0.026441,-0.02467,0.040438,0.037642,-0.045243,-0.022831,-0.041808,-0.033192,-0.0125,0.025596,-0.057176,0.042216,-0.014036,-0.00923,-0.012577,0.067717,0.011061,-0.03871,-0.019714,-0.020836,0.100919,0.031413,-0.050455,1
51,-0.032585,-0.083768,-0.045216,0.051853,0.024059,-0.012402,-0.012784,-0.02996,0.032902,-0.026041,0.037397,0.037087,-0.044056,-0.023603,-0.043082,-0.027263,-0.007614,0.025501,-0.057062,0.042095,-0.010315,-0.013556,-0.015268,0.066622,0.012257,-0.041205,-0.01265,-0.01576,0.095192,0.037497,-0.047369,1
52,-0.031155,-0.082478,-0.049372,0.049276,0.023147,-0.015284,-0.006598,-0.032232,0.039619,-0.02724,0.034235,0.036803,-0.043006,-0.024153,-0.044454,-0.021147,-0.00272,0.025073,-0.056607,0.04177,-0.006364,-0.017894,-0.017912,0.065735,0.013207,-0.043447,-0.00536,-0.010786,0.08967,0.0435,-0.04445,1
53,-0.030035,-0.08138,-0.05354,0.046122,0.022078,-0.018501,-0.000467,-0.03456,0.045893,-0.028555,0.031238,0.035946,-0.041656,-0.025153,-0.045798,-0.015323,0.002112,0.025271,-0.056642,0.041862,-0.002765,-0.022252,-0.020676,0.064432,0.01454,-0.046041,0.001425,-0.005709,0.083715,0.049618,-0.041177,1
54,-0.02862,-0.080092,-0.057703,0.043537,0.021184,-0.021453,0.005648,-0.036875,0.052631,-0.029633,0.028041,0.035625,-0.04058,-0.025719,-0.047262,-0.009171,0.00698,0.024846,-0.056099,0.041557,0.001231,-0.026616,-0.023339,0.063532,0.015447,-0.048212,0.008669,-0.000786,0.078166,0.055598,-0.038232,1
55,-0.027422,-0.078939,-0.061876,0.040548,0.020181,-0.02464,0.011722,-0.03923,0.059058,-0.030787,0.024959,0.034902,-0.039292,-0.0266,-0.04871,-0.003224,0.011806,0.024858,-0.055895,0.041546,0.004982,-0.030993,-0.026087,0.062339,0.016621,-0.050629,0.015559,0.004208,0.072313,0.061659,-0.035037,1
56,-0.026118,-0.077715,-0.066051,0.037768,0.019246,-0.027741,0.017777,-0.041588,0.065659,-0.031829,0.021796,0.034372,-0.038099,-0.02732,-0.05022,0.002851,0.016644,0.024639,-0.055459,0.041392,0.008888,-0.035376,-0.0288,0.061292,0.017631,-0.052877,0.022612,0.009135,0.066606,0.067663,-0.031958,1
57,0.017058,-0.02919,0.020666,0.02008,-0.019462,-0.009059,-0.019004,0.005519,0.007054,0.015033,0.003717,-0.039521,-0.01872,-0.059712,0.01478,-0.061204,0.037219,0.025841,-0.033753,0.013556,0.000995,0.01583,-0.02392,-0.036068,-0.006612,0.020639,-0.018568,0.04612,-0.002117,0.016467,0.027803,1
58,0.012658,-0.009704,-0.060386,0.013454,-0.023376,0.009684,-0.043515,-0.029417,-0.018728,0.029412,-0.045504,-0.048457,0.017494,-0.038107,0.016192,0.018273,0.029671,0.018073,-0.043363,0.03926,-0.044401,0.008087,-0.008543,0.033688,-0.033011,-0.007598,0.007946,0.0301,-0.008235,0.043517,0.003401,1
59,-0.009818,-0.004675,-0.049945,-0.001421,-0.011831,-0.013771,-0.029913,-0.018484,-0.028309,-0.021619,-0.056423,-0.033517,0.01789,-0.00955,0.006884,0.055537,-0.002906,-0.00059,-0.029542,-0.011624,-0.026019,0.008416,-0.008612,0.041042,-0.032315,0.00829,0.016895,0.006144,0.004381,0.041263,-0.020575,1
60,-0.007319,-0.005425,-0.054212,0.000441,-0.013541,-0.014159,-0.032769,-0.019169,-0.030532,-0.022014,-0.060587,-0.034075,0.016579,-0.008693,0.006867,0.055499,-0.003374,-0.001621,-0.030786,-0.010151,-0.024524,0.009701,-0.008999,0.041446,-0.030626,0.0082,0.017524,0.006397,0.005252,0.041389,-0.019493,1
61,-0.028137,-0.019531,0.022077,0.006776,-0.034826,-0.027717,-0.014789,0.013139,0.007284,-0.014557,0.004531,-0.027143,-0.010186,-0.011978,0.018499,-0.016578,-0.009367,0.019095,-0.031662,-0.04398,0.024324,-0.02506,0.001091,-0.024893,-0.012506,0.015589,-0.012674,-0.000432,0.010057,0.007405,0.009687,1
62,-0.005869,-0.009537,-0.062123,-0.000232,-0.018523,-0.020313,-0.029743,-0.024492,-0.02919,-0.025315,-0.065076,-0.032923,0.016097,-0.009282,0.005134,0.061861,0.002377,-0.001064,-0.031483,-0.00349,-0.019149,0.005975,-0.011374,0.041899,-0.030361,0.007596,0.023646,0.01074,-0.001294,0.047594,-0.01054,1
63,-0.001615,-0.006067,-0.067028,0.000275,-0.01822,-0.01859,-0.032498,-0.022975,-0.02933,-0.024061,-0.071696,-0.03678,0.015794,-0.008452,0.005389,0.060884,0.000557,-0.002697,-0.033783,-0.006539,-0.018366,0.007894,-0.012724,0.040408,-0.025406,0.004994,0.024965,0.012075,0.000483,0.047856,-0.013512,1
64,0.000882,-0.006818,-0.071296,0.002133,-0.019932,-0.018978,-0.035353,-0.023659,-0.031558,-0.024458,-0.075858,-0.037341,0.014486,-0.007597,0.005373,0.060843,0.000091,-0.003724,-0.035032,-0.005063,-0.016875,0.00918,-0.013112,0.04081,-0.023713,0.004899,0.025593,0.012331,0.001352,0.047983,-0.012428,1
65,0.003264,-0.00764,-0.07559,0.003776,-0.02171,-0.019462,-0.038214,-0.024353,-0.033979,-0.024907,-0.079938,-0.038103,0.013305,-0.006879,0.005379,0.060676,-0.000358,-0.004516,-0.036472,-0.003428,-0.015536,0.010471,-0.013545,0.041057,-0.021847,0.00464,0.026061,0.012641,0.002068,0.048151,-0.011198,1
66,0.005763,-0.00839,-0.079858,0.005637,-0.023422,-0.019843,-0.041064,-0.025033,-0.036207,-0.025311,-0.084098,-0.038658,0.011994,-0.00602,0.005369,0.060634,-0.000821,-0.005545,-0.037725,-0.001955,-0.014046,0.011759,-0.013932,0.041462,-0.020152,0.004542,0.026695,0.0129,0.002941,0.048279,-0.010116,1
67,0.008259,-0.009142,-0.084127,0.007492,-0.025136,-0.020225,-0.043912,-0.025713,-0.03844,-0.02572,-0.088254,-0.039218,0.010685,-0.005164,0.005363,0.060587,-0.001283,-0.006568,-0.038985,-0.000479,-0.012562,0.013047,-0.014319,0.041863,-0.018451,0.004437,0.027326,0.013162,0.00381,0.048409,-0.009031,1
68,0.010762,-0.00989,-0.088396,0.00936,-0.026848,-0.020599,-0.046758,-0.026391,-0.040666,-0.026129,-0.092412,-0.039766,0.009371,-0.004298,0.005357,0.060545,-0.001741,-0.007604,-0.040237,0.000989,-0.011072,0.014337,-0.014704,0.042273,-0.016756,0.004337,0.027968,0.013422,0.004688,0.048536,-0.007953,1
69,0.013265,-0.010639,-0.092664,0.011225,-0.028561,-0.020972,-0.049602,-0.027068,-0.042893,-0.026542,-0.09657,-0.040315,0.008057,-0.003434,0.005354,0.060501,-0.002201,-0.008638,-0.041494,0.002458,-0.009585,0.015626,-0.015088,0.042682,-0.015059,0.004235,0.028609,0.013685,0.005566,0.048665,-0.006875,1
70,0.015666,-0.011451,-0.096949,0.0129,-0.030332,-0.021434,-0.052451,-0.027754,-0.045286,-0.027004,-0.100658,-0.041043,0.00685,-0.002699,0.005372,0.060349,-0.002655,-0.009464,-0.042922,0.004066,-0.008229,0.016919,-0.015511,0.042954,-0.013216,0.003992,0.029104,0.013994,0.006308,0.048832,-0.005673,1
71,0.018168,-0.0122,-0.101214,0.014765,-0.032046,-0.021806,-0.055291,-0.028429,-0.047513,-0.027425,-0.104815,-0.041592,0.005533,-0.001838,0.005375,0.060303,-0.003117,-0.010496,-0.044185,0.005534,-0.006743,0.01821,-0.015895,0.043363,-0.011518,0.003887,0.029745,0.014259,0.007185,0.048963,-0.004598,1
72,0.020671,-0.012949,-0.105482,0.01663,-0.03376,-0.022175,-0.058131,-0.029103,-0.049742,-0.027846,-0.10897,-0.042139,0.004217,-0.000973,0.005378,0.060257,-0.003574,-0.011529,-0.045448,0.007002,-0.005259,0.019501,-0.016278,0.043772,-0.009818,0.003779,0.030389,0.014525,0.008064,0.049093,-0.003521,1
