@relation csv_result-credit_edit20_clustered

@attribute Instance_number numeric
@attribute id numeric
@attribute source_0 numeric
@attribute source_1 numeric
@attribute source_2 numeric
@attribute source_3 numeric
@attribute source_4 numeric
@attribute source_5 numeric
@attribute source_6 numeric
@attribute source_7 numeric
@attribute source_8 numeric
@attribute source_9 numeric
@attribute source_10 numeric
@attribute source_11 numeric
@attribute source_12 numeric
@attribute source_13 numeric
@attribute source_14 numeric
@attribute source_15 numeric
@attribute source_16 numeric
@attribute source_17 numeric
@attribute source_18 numeric
@attribute source_19 numeric
@attribute class {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13}

@data
12,13,0.025399,0.001951,0.0004,0.047207,0.017536,-0.019825,0.031414,0.000962,-0.032693,0.038563,-0.050008,0.010551,0.002986,0.011661,-0.013665,-0.008702,0.007112,0.000532,0.00825,0.020599,1,cluster4
13,14,0.000311,-0.028695,-0.010181,0.040862,0.003953,-0.00612,0.018825,-0.018207,0.008675,0.055006,-0.057408,-0.020817,-0.000386,0.01282,0.003267,-0.027612,-0.001402,-0.013663,0.011524,0.034495,1,cluster4
14,15,-0.005608,-0.018746,0.012275,0.02135,0.051727,0.018106,0.037582,-0.000845,0.034398,-0.051637,-0.041255,0.024815,-0.005646,-0.011398,-0.038203,-0.000156,0.070016,-0.054084,0.005718,0.028995,1,cluster5
15,16,-0.002344,0.03677,-0.015535,0.025482,0.043249,0.025925,-0.001991,0.014104,-0.00553,0.060573,-0.03178,-0.038419,0.015829,0.001569,-0.032543,-0.013733,0.023475,0.002271,-0.015779,0.055353,1,cluster4
16,17,-0.003725,0.036044,-0.026751,0.010068,0.022006,0.003276,-0.004738,0.038563,0.005298,0.033573,-0.027694,-0.019733,0.014521,-0.010605,-0.044617,-0.024247,0.017644,-0.007089,-0.000864,0.048223,1,cluster4
17,18,0.01988,-0.036405,0.017005,0.0601,0.020915,-0.027698,0.05381,-0.031601,0.034269,-0.042545,-0.052101,0.047424,-0.012964,0.003995,-0.004411,-0.002359,0.056317,-0.042534,0.028104,0.007923,1,cluster5
18,19,0.017421,-0.033998,0.020507,0.062379,0.024276,-0.025037,0.049733,-0.02868,0.034132,-0.045529,-0.04786,0.048272,-0.012161,0.006485,-0.001272,-0.005612,0.053571,-0.043514,0.031237,0.009247,1,cluster5
19,20,0.020085,0.002185,-0.009478,0.054079,0.014331,-0.013718,0.025922,-0.005532,-0.009542,0.047651,-0.052878,0.009203,0.012926,0.007262,-0.008414,-0.007774,0.006142,-0.004576,0.003758,0.028082,1,cluster4
20,21,0.023886,0.003409,-0.010631,0.055028,0.011953,-0.013341,0.02703,0.00433,-0.00682,0.045909,-0.051866,0.008791,0.01019,0.011645,-0.007378,-0.01206,0.005938,-0.005348,0.004722,0.029096,1,cluster4
21,22,0.021525,-0.061017,0.028534,-0.016854,-0.018957,-0.03382,0.005073,-0.062462,-0.029366,0.032153,-0.000688,-0.013796,-0.038373,0.028068,-0.046217,-0.016233,0.053073,0.056483,0.002828,0.013948,1,cluster4
22,23,-0.008067,0.018071,-0.016528,0.022855,0.045128,0.028823,0.015268,0.038679,0.002602,0.046257,-0.035811,-0.011729,0.015956,-0.002245,-0.048544,-0.005622,0.007123,0.001434,-0.01262,0.051125,1,cluster4
23,24,-0.009058,0.019258,-0.015781,0.025108,0.043924,0.029057,0.013455,0.040731,0.00337,0.047175,-0.034943,-0.01217,0.015215,-0.002314,-0.046819,-0.008288,0.005704,-0.000593,-0.009058,0.052878,1,cluster4
24,25,-0.095058,0.033731,0.009132,0.027797,-0.035569,0.133065,0.095011,0.016534,-0.124925,-0.023303,-0.000256,0.028783,-0.075737,0.010136,0.078611,-0.038024,-0.116904,-0.099412,-0.073581,-0.105183,1,cluster6
25,26,0.011911,0.061123,0.006421,0.017737,0.010489,-0.014975,-0.024487,0.001425,0.037677,0.061947,-0.022482,-0.018047,-0.01308,-0.029403,-0.056087,0.000762,-0.025655,0.05604,0.02108,0.019258,1,cluster4
26,27,-0.012694,0.00909,-0.016586,-0.018891,0.020264,0.003762,-0.007809,0.014508,-0.013842,0.025861,-0.039746,-0.049561,-0.003134,-0.012564,-0.041462,-0.032354,0.011984,-0.005672,0.002183,0.043528,1,cluster4
27,28,0.032978,-0.008977,0.053708,0.070036,0.012785,-0.043294,0.030005,-0.065866,0.066563,-0.017095,-0.042566,0.050023,-0.03978,-0.012196,-0.012726,0.019389,0.010323,0.019533,0.053198,-0.019752,1,cluster5
28,29,0.007475,0.046279,0.017203,0.034822,0.029449,0.00728,-0.012032,-0.0015,0.037338,0.074294,-0.028156,-0.013972,-0.013561,-0.023627,-0.055552,0.014855,-0.032149,0.058899,0.0122,0.022438,1,cluster4
29,30,-0.021874,-0.044126,0.022521,0.005634,0.046758,0.012063,0.02956,-0.022082,0.027404,-0.049574,-0.045075,-0.007537,-0.027397,-0.015028,-0.036187,-0.011274,0.0542,-0.041717,0.020133,0.027352,1,cluster4
30,31,0.001618,-0.037964,0.007118,-0.038291,0.014299,-0.035339,0.015087,-0.00824,-0.014375,0.00336,-0.018262,-0.022544,-0.034497,0.012392,-0.033619,-0.030435,0.016304,0.080178,-0.042927,0.018553,1,cluster4
31,32,-0.009133,-0.055683,0.025687,-0.034741,0.025684,-0.026851,0.034294,-0.031346,-0.004232,-0.029116,-0.021043,-0.006017,-0.042393,0.014435,-0.029134,-0.020142,0.030233,0.065908,-0.024901,0.009872,1,cluster4
32,33,0.021851,-0.103269,-0.026783,0.034501,0.024858,0.048072,0.036284,-0.001222,-0.003251,0.010075,0.011943,-0.046754,-0.026444,0.005844,-0.018465,0.036342,0.089409,0.043476,-0.105078,-0.037523,1,cluster6
33,34,-0.001792,0.002366,0.044376,0.041072,0.04095,0.000879,0.020052,-0.024288,0.075779,-0.009524,-0.031931,0.030685,-0.033088,-0.031061,-0.05949,0.02995,0.001931,0.025136,0.040761,0.003816,1,cluster5
34,35,0.02903,-0.016443,0.051276,0.067446,0.018439,-0.031999,0.042199,-0.046606,0.061994,-0.012858,-0.049337,0.059508,-0.034214,-0.009917,-0.025589,0.030381,-0.011089,0.028846,0.054709,-0.018199,1,cluster5
35,36,-0.001085,0.037843,0.015759,0.033953,0.035452,0.01862,-0.00301,0.012463,0.031844,0.081183,-0.034807,-0.004183,-0.00616,-0.024927,-0.069002,0.028334,-0.055237,0.06608,0.015712,0.023566,1,cluster4
36,37,-0.010509,-0.006196,0.043011,0.04016,0.047031,0.01221,0.029154,-0.010428,0.070405,-0.002512,-0.03841,0.040602,-0.02573,-0.032103,-0.072949,0.043413,-0.021029,0.032126,0.04433,0.004896,1,cluster5
37,38,-0.015377,-0.009676,0.043044,0.040372,0.049297,0.015979,0.031239,-0.007823,0.068579,0.001028,-0.040099,0.044358,-0.022758,-0.033036,-0.077534,0.048686,-0.028981,0.033308,0.046264,0.004928,1,cluster5
38,39,0.032465,-0.088708,-0.020648,0.003514,0.044159,-0.010769,0.038846,0.022579,0.013657,-0.030441,-0.024631,-0.018104,-0.007029,-0.025299,-0.029378,-0.052909,0.081809,0.050824,-0.143782,-0.025138,1,cluster6
39,40,0.031401,-0.025091,0.014217,-0.023225,-0.008296,0.029517,-0.044482,0.005293,-0.033644,0.006674,-0.04589,-0.023704,-0.000412,0.004771,-0.023281,-0.016161,0.018299,-0.002244,0.007338,0.008176,1,cluster4
40,41,0.012016,-0.033718,0.017291,-0.011991,0.000539,0.012017,-0.03973,0.020899,-0.069221,0.000745,-0.029061,-0.027624,-0.007659,0.007998,-0.030931,-0.027233,0.018184,0.002213,0.027108,0.01459,1,cluster4
41,42,0.022137,-0.01083,0.008529,0.007214,0.042248,0.048672,0.000196,-0.000146,-0.037481,0.0134,-0.029396,-0.048196,-0.019757,0.003199,0.038809,0.000243,0.022403,0.018439,-0.01164,0.029742,1,cluster4
42,43,-0.016206,-0.010208,0.041537,0.041228,0.05024,0.020031,0.032194,-0.002791,0.064057,0.0015,-0.045925,0.044789,-0.018862,-0.039892,-0.082865,0.054341,-0.039531,0.038739,0.047363,0.00665,1,cluster5
43,44,-0.000091,0.005094,0.036261,0.047295,0.028825,0.079783,0.077304,0.023183,0.015275,-0.020866,-0.035238,0.06944,-0.081212,-0.003269,0.020511,0.046386,-0.077741,0.023556,0.045672,-0.07122,1,cluster5
44,45,-0.09538,0.019906,0.105835,0.159523,-0.114911,0.055778,0.130903,-0.043971,-0.043861,-0.025356,0.115458,-0.170815,0.169064,-0.205448,0.024703,-0.057202,-0.204259,-0.194549,-0.100294,-0.153508,1,cluster6
45,46,-0.005828,0.036673,0.070174,0.06128,-0.048029,-0.034385,-0.024391,-0.005351,-0.010401,0.012847,0.030191,-0.061253,-0.030266,-0.083964,-0.043466,-0.014362,-0.007671,-0.079393,-0.094466,0.01181,1,cluster6
46,47,0.032367,0.005207,0.078371,0.059399,-0.030464,0.00117,0.002157,0.015013,-0.008195,-0.052901,0.014091,0.024925,-0.138522,0.006585,0.023267,0.034353,0.035705,-0.073857,-0.05849,-0.029536,1,cluster5
47,48,0.010283,0.04104,0.059164,0.039008,-0.033611,-0.02563,-0.0358,0.0154,-0.018207,0.019852,0.010865,-0.027762,-0.08116,-0.051546,-0.034453,-0.005344,0.008506,-0.05177,-0.085502,0.020217,1,cluster5
48,49,0.004558,0.003457,0.076482,0.049135,-0.020046,-0.008079,-0.014166,0.007635,0.01183,-0.033522,0.002868,-0.000991,-0.104398,-0.024954,-0.043199,0.030435,0.037215,-0.077642,-0.060949,-0.003144,1,cluster5
49,50,-0.000804,0.000004,0.076875,0.049681,-0.018384,-0.003569,-0.011896,0.010272,0.009776,-0.029896,0.001518,0.002991,-0.101239,-0.025988,-0.047144,0.035294,0.029087,-0.076714,-0.05926,-0.003561,1,cluster5
50,51,-0.005802,-0.003235,0.077157,0.050219,-0.016735,0.00092,-0.009658,0.013088,0.007549,-0.026518,-0.000171,0.006682,-0.098032,-0.027442,-0.051269,0.04021,0.020816,-0.075475,-0.057573,-0.003773,1,cluster5
51,52,-0.010984,-0.006641,0.077494,0.050691,-0.014958,0.005326,-0.007372,0.015765,0.005494,-0.022975,-0.001658,0.010539,-0.094895,-0.028553,-0.055411,0.045141,0.012708,-0.074452,-0.055817,-0.00404,1,cluster5
52,53,-0.01572,-0.009751,0.077637,0.051208,-0.013273,0.009694,-0.005234,0.018684,0.003183,-0.019747,-0.003592,0.014047,-0.091677,-0.030259,-0.059662,0.050146,0.004341,-0.072971,-0.054136,-0.00411,1,cluster5
53,54,-0.020843,-0.013169,0.077918,0.051634,-0.011409,0.013987,-0.002985,0.021349,0.001167,-0.016206,-0.005118,0.017884,-0.088568,-0.031343,-0.063883,0.055139,-0.003742,-0.071916,-0.052349,-0.004322,1,cluster5
54,55,-0.025653,-0.016378,0.07806,0.052091,-0.00961,0.018249,-0.000843,0.024185,-0.001028,-0.012886,-0.006958,0.021476,-0.085404,-0.032844,-0.068181,0.060186,-0.012006,-0.070539,-0.050615,-0.004396,1,cluster5
55,56,-0.030596,-0.019704,0.078242,0.052507,-0.007728,0.022461,0.00133,0.026924,-0.003106,-0.00945,-0.008653,0.025188,-0.082285,-0.034108,-0.07248,0.065239,-0.020162,-0.069313,-0.048837,-0.004515,1,cluster5
56,57,0.010998,-0.017905,-0.016536,-0.005564,0.00004,0.010288,-0.017095,0.049744,-0.04068,-0.000914,-0.054518,-0.043282,-0.007368,-0.017746,-0.010137,-0.043668,0.007032,0.005103,0.004799,0.033316,1,cluster4
57,58,0.014076,-0.020771,0.026465,0.026659,0.054425,-0.019827,-0.022301,0.000698,-0.047979,0.031045,-0.049669,-0.016377,0.001182,-0.059617,-0.012617,0.004915,-0.020194,-0.014647,0.028942,-0.002929,1,cluster4
58,59,-0.006992,-0.008588,0.024086,-0.005037,0.043814,0.000198,0.004062,-0.006108,0.004653,0.030668,0.004827,-0.012713,0.010457,-0.049908,-0.019595,0.015186,-0.013161,-0.036305,0.039581,-0.006436,1,cluster0
59,60,-0.005735,-0.010561,0.025409,-0.007538,0.045438,-0.000889,0.003162,-0.005696,0.001697,0.029915,0.005957,-0.015304,0.010738,-0.051624,-0.018599,0.014812,-0.012016,-0.037149,0.039755,-0.008143,1,cluster0
60,61,0.023623,0.029074,-0.008135,-0.031907,-0.008462,0.030564,0.019063,0.05301,0.002209,-0.008145,-0.002831,-0.004851,0.006564,-0.014911,-0.03158,-0.009483,0.016868,0.003984,0.005421,0.010882,1,cluster4
61,62,-0.00766,-0.014561,0.025249,-0.011017,0.049819,0.003102,0.00275,-0.000693,-0.004124,0.03304,0.002485,-0.011136,0.009501,-0.052688,-0.021322,0.020787,-0.018327,-0.033224,0.042496,-0.008571,1,cluster0
62,63,-0.007368,-0.017252,0.027809,-0.01197,0.050293,0.001075,0.003128,-0.001662,-0.006818,0.031263,0.00568,-0.017392,0.014593,-0.057506,-0.020948,0.019254,-0.018459,-0.036684,0.041648,-0.011393,1,cluster0
63,64,-0.00611,-0.019223,0.029131,-0.014471,0.051915,-0.000009,0.002227,-0.001247,-0.009777,0.030507,0.006807,-0.019985,0.014875,-0.059228,-0.019949,0.018879,-0.017317,-0.037524,0.041819,-0.0131,1,cluster0
64,65,-0.004705,-0.021079,0.03037,-0.016932,0.05347,-0.0011,0.001241,-0.00074,-0.012844,0.02964,0.007775,-0.022693,0.015195,-0.061185,-0.018941,0.018525,-0.016296,-0.038184,0.041937,-0.014763,1,cluster0
65,66,-0.003453,-0.02305,0.031696,-0.019429,0.055086,-0.002177,0.000341,-0.000326,-0.015804,0.028886,0.008908,-0.025282,0.015478,-0.062906,-0.017935,0.018146,-0.015155,-0.039029,0.042107,-0.016477,1,cluster0
66,67,-0.002198,-0.025018,0.033021,-0.021923,0.056697,-0.003251,-0.00056,0.000091,-0.01877,0.028129,0.010037,-0.027874,0.015764,-0.064635,-0.016926,0.017765,-0.014018,-0.039869,0.042274,-0.01819,1,cluster0
67,68,-0.000954,-0.026991,0.03435,-0.024417,0.058309,-0.004323,-0.001458,0.000503,-0.02173,0.027379,0.011176,-0.030458,0.016048,-0.066352,-0.015913,0.017382,-0.012878,-0.040719,0.042441,-0.019909,1,cluster0
68,69,0.00029,-0.028963,0.035681,-0.02691,0.059918,-0.005391,-0.002354,0.000916,-0.024693,0.026627,0.012314,-0.033043,0.016334,-0.068072,-0.014899,0.016997,-0.011738,-0.041568,0.042608,-0.021628,1,cluster0
69,70,0.001666,-0.030834,0.036944,-0.029373,0.061472,-0.00646,-0.003316,0.001412,-0.027749,0.025776,0.013311,-0.035733,0.016652,-0.069998,-0.013886,0.01663,-0.010699,-0.042262,0.042732,-0.023303,1,cluster0
70,71,0.00291,-0.032805,0.038279,-0.031865,0.063077,-0.007522,-0.004208,0.001826,-0.030714,0.025023,0.01445,-0.03832,0.016939,-0.07172,-0.012872,0.016242,-0.00956,-0.043113,0.042899,-0.025022,1,cluster0
71,72,0.004151,-0.034776,0.039613,-0.034354,0.064681,-0.008583,-0.005103,0.002241,-0.033679,0.024271,0.015591,-0.040904,0.017227,-0.073442,-0.011852,0.015853,-0.008423,-0.043964,0.043063,-0.026745,1,cluster0
72,73,0.005393,-0.036746,0.040947,-0.036843,0.066282,-0.009641,-0.005997,0.002656,-0.036646,0.023518,0.01673,-0.043489,0.017516,-0.075168,-0.010832,0.015463,-0.007287,-0.044813,0.043227,-0.028468,1,cluster0
73,74,0.023238,0.021018,-0.020129,-0.002257,-0.025929,0.000913,0.040082,-0.009774,0.038424,0.011162,0.000946,-0.035911,-0.003269,-0.014827,0.011879,-0.005324,-0.007425,0.008945,0.030843,0.02356,1,cluster8
74,75,0.002943,-0.041172,0.04093,-0.040442,0.070915,-0.005814,-0.006324,0.007305,-0.042053,0.027082,0.013806,-0.038858,0.016123,-0.075376,-0.013488,0.021449,-0.013226,-0.041443,0.046094,-0.029103,1,cluster0
75,76,0.023389,0.019596,-0.015935,-0.042654,0.045545,0.061137,-0.02454,-0.015461,0.014455,0.018797,-0.015612,-0.052309,-0.044694,0.03914,-0.020844,0.029205,-0.023281,0.005505,0.035586,-0.00514,1,cluster8
76,77,0.003454,-0.043675,0.043344,-0.041311,0.07125,-0.007849,-0.006119,0.006488,-0.04493,0.025131,0.016747,-0.045284,0.021282,-0.080588,-0.013048,0.019948,-0.013577,-0.044596,0.045133,-0.031882,1,cluster0
77,78,0.004678,-0.045656,0.044681,-0.043801,0.072855,-0.008912,-0.007015,0.006894,-0.047887,0.024392,0.017902,-0.047855,0.021567,-0.08229,-0.012021,0.019559,-0.012433,-0.04546,0.045297,-0.033614,1,cluster0
78,79,0.005911,-0.047632,0.046016,-0.04629,0.074457,-0.009972,-0.00791,0.007304,-0.050849,0.023645,0.01905,-0.050432,0.021854,-0.084004,-0.010995,0.019168,-0.011294,-0.046317,0.04546,-0.035343,1,cluster0
79,80,0.007138,-0.04961,0.047354,-0.048778,0.076059,-0.011032,-0.008805,0.007712,-0.053809,0.022903,0.020203,-0.053005,0.022141,-0.085713,-0.009966,0.018777,-0.010153,-0.047178,0.045623,-0.037074,1,cluster0
80,81,0.008373,-0.051582,0.048692,-0.051266,0.077658,-0.012086,-0.009696,0.008126,-0.056775,0.022153,0.021348,-0.055586,0.022429,-0.087433,-0.008943,0.018385,-0.009015,-0.048034,0.045787,-0.038801,1,cluster0
81,82,0.022011,0.057203,-0.032687,-0.045057,-0.00281,0.046252,0.031496,0.053597,0.033048,-0.001355,-0.015524,-0.027392,0.026303,-0.030999,-0.05844,-0.00864,0.023842,-0.007776,-0.018651,0.036427,1,cluster4
82,83,-0.005382,0.017774,-0.027211,-0.047836,-0.000871,0.053518,0.032043,0.023721,0.045654,0.027777,-0.022447,-0.066613,0.006993,-0.010946,-0.054147,-0.01288,0.006614,-0.001164,-0.027543,0.066524,1,cluster4
83,84,0.0084,0.056474,-0.032921,-0.023306,-0.008616,0.036909,0.025528,0.061826,0.053849,0.014839,-0.000329,-0.030817,0.01917,-0.03102,-0.060288,-0.015877,0.009057,0.008074,-0.000067,0.041254,1,cluster4
84,85,0.037389,-0.015746,0.0249,0.03881,-0.003411,0.022671,0.066878,-0.007447,0.062493,-0.049711,-0.002487,0.074014,-0.02346,-0.005121,-0.015503,0.000986,0.055222,-0.048737,0.054709,-0.003137,1,cluster5
85,86,0.01608,-0.017528,-0.007228,-0.095209,0.006996,0.021534,0.051242,-0.026805,0.011316,-0.066412,-0.000428,-0.024129,-0.00044,-0.018567,-0.008197,-0.030823,0.057654,0.050105,-0.080898,0.006916,1,cluster2
86,87,0.011371,0.017161,-0.002718,-0.048688,-0.01295,0.028902,-0.023508,-0.003778,0.026144,0.003501,-0.018902,-0.02779,-0.000113,-0.017916,-0.00759,-0.0042,-0.003045,0.005272,0.007748,0.009422,1,cluster4
87,88,0.029429,0.036774,-0.026258,-0.037782,0.042138,-0.005959,0.027401,-0.033272,0.035321,-0.023487,-0.043096,-0.013688,-0.035573,-0.007744,-0.001468,-0.018101,-0.04175,0.007565,0.019802,-0.00002,1,cluster4
88,89,0.028331,0.052993,0.000167,-0.027211,0.008164,0.011807,0.018817,0.026906,-0.024614,-0.011737,0.01147,-0.007613,-0.0068,-0.029963,-0.02076,0.016421,0.004735,0.026392,0.017603,0.008234,1,cluster8
89,90,0.041238,0.034439,0.01443,-0.044497,0.000128,0.050438,-0.026115,0.013231,-0.014444,-0.024101,0.003287,0.009792,0.030531,0.000452,-0.034619,0.016949,0.024275,-0.004553,0.002099,0.000308,1,cluster8
90,91,0.001121,0.038406,-0.016774,0.001397,0.004403,0.007547,0.021009,0.061939,-0.012751,-0.003818,0.030811,-0.014665,-0.004453,-0.021589,-0.018693,-0.008287,0.004347,0.020245,0.034222,0.029576,1,cluster8
91,92,0.014479,-0.037753,-0.026275,0.069865,-0.010959,0.022835,0.031441,0.001398,0.062551,0.039997,0.004117,-0.057745,-0.011002,-0.007085,-0.011798,0.004452,0.017622,0.012343,-0.063872,-0.018236,1,cluster4
92,93,-0.007869,0.04633,-0.006908,-0.023155,0.011463,-0.004942,-0.013628,-0.028409,0.00469,0.013243,0.013978,-0.037507,-0.01064,-0.029718,-0.002622,0.012666,-0.014821,0.018696,0.036897,0.028967,1,cluster8
93,94,-0.008739,-0.011332,0.021547,0.008546,-0.038665,0.021569,0.039897,0.005056,0.019999,-0.019176,-0.015973,-0.026694,0.00778,-0.018348,-0.010397,-0.057108,-0.027027,0.004216,0.003447,0.048223,1,cluster4
94,95,0.016672,-0.043263,-0.022284,0.069405,-0.009846,0.014214,0.028133,0.000113,0.06242,0.038116,0.008488,-0.064708,-0.003198,-0.011733,-0.015245,0.004602,0.020832,0.008821,-0.066888,-0.015348,1,cluster4
95,96,-0.016268,0.034379,0.025718,-0.013208,0.049163,-0.000073,-0.004952,-0.04828,0.010307,-0.023155,0.025207,-0.006409,-0.014129,-0.03885,0.016618,0.00059,-0.007973,0.020568,0.030667,0.039437,1,cluster8
96,97,-0.020356,0.014834,0.046854,-0.038051,0.038826,0.00139,-0.03591,-0.060236,0.004801,-0.019598,-0.012741,0.007804,-0.001218,-0.027938,-0.005203,-0.020952,-0.014481,0.021678,0.024041,0.021932,1,cluster8
97,98,-0.010887,0.03511,0.017444,-0.017975,0.042367,-0.001143,0.005318,-0.041239,-0.007182,-0.003071,0.022911,-0.001508,-0.01898,-0.05054,0.030163,0.006438,-0.021145,0.035374,0.032002,0.048685,1,cluster8
98,99,-0.01613,0.034423,0.022837,-0.019328,0.053333,0.007189,0.011862,-0.034104,-0.002335,-0.010344,0.024697,0.001787,-0.011676,-0.039995,0.01728,0.003423,-0.025963,0.03669,0.032,0.04958,1,cluster8
99,100,-0.006279,0.007033,0.043744,-0.0135,0.030368,0.01476,0.00275,-0.050711,-0.004543,0.002383,0.012261,0.029403,-0.005514,-0.014258,-0.022222,-0.003086,-0.016869,0.017312,0.056094,0.032266,1,cluster8
100,101,-0.020902,0.007937,0.033342,-0.039593,0.035267,0.031749,-0.005369,-0.030792,-0.003659,0.008345,-0.026756,0.001644,-0.004419,-0.004232,-0.018367,-0.000633,-0.039874,0.026594,0.0239,0.012319,1,cluster8
101,102,-0.024456,0.004564,0.033768,-0.041592,0.024878,0.016683,-0.006864,-0.020267,-0.005298,0.003834,-0.022132,0.015281,-0.002642,-0.027646,-0.020292,-0.013059,-0.053769,0.019359,0.012433,0.018423,1,cluster8
102,103,0.023972,-0.025203,0.081301,0.041059,-0.108067,-0.064058,0.006864,-0.027548,-0.040921,-0.066849,0.097589,-0.061842,0.011808,-0.012565,-0.01675,-0.022653,0.028241,-0.157162,-0.137686,0.044712,1,cluster6
103,104,0.049714,-0.005882,-0.046813,-0.019736,0.000005,0.008155,0.029042,-0.006781,0.031106,0.016116,-0.032048,0.003188,-0.066668,-0.010289,-0.021435,-0.01985,0.004431,-0.032001,0.029437,-0.01103,1,cluster4
104,105,0.050441,0.025311,-0.018324,-0.032145,-0.044783,0.026038,0.004834,0.011739,0.007411,0.022631,-0.032443,0.014922,0.018196,-0.017414,-0.045379,0.000362,0.033091,-0.027604,0.004189,0.00445,1,cluster4
105,106,-0.00852,0.017728,-0.028385,-0.048877,-0.014378,0.039455,0.023741,0.050105,0.04184,0.010692,-0.005534,-0.05641,0.000713,-0.023659,-0.051786,-0.031337,0.006777,0.003885,0.000844,0.034617,1,cluster4
106,107,-0.021966,0.051032,-0.014121,-0.080677,-0.026751,-0.033037,0.045334,-0.015107,0.000721,-0.010588,-0.019058,-0.012835,0.020198,-0.001456,-0.104468,0.036744,-0.041586,-0.011032,-0.039393,0.116718,1,cluster1
107,108,-0.032716,0.008877,0.007908,-0.07309,-0.018246,-0.000293,0.070553,-0.015429,0.034788,-0.074839,-0.031344,0.051278,-0.031967,0.037039,-0.09957,0.069996,-0.001209,-0.035622,-0.009066,0.087689,1,cluster1
108,109,-0.005909,0.048982,-0.020866,0.008488,-0.031305,-0.047234,-0.018422,-0.064352,0.057703,0.07712,-0.03982,0.005947,-0.00796,-0.027384,-0.014451,-0.029455,-0.033753,-0.008054,0.045224,0.016844,1,cluster4
